community,n,mean,median,std
86,1,0.3333333333333333,0.3333333333333333,
56,21,0.22416100943301295,0.25,0.16662231919360576
80,5,0.20751633986928103,0.25,0.06259471016136586
46,16,0.19933795886775763,0.25,0.13274809214542854
39,28,0.19701136189968563,0.17647058823529413,0.1650483291955411
58,18,0.1904495716415221,0.17647058823529413,0.1500317973932012
52,12,0.18208676858057662,0.1437908496732026,0.15789812914519508
236,1,0.17647058823529413,0.17647058823529413,
173,1,0.17647058823529413,0.17647058823529413,
109,1,0.17647058823529413,0.17647058823529413,
247,1,0.17647058823529413,0.17647058823529413,
316,1,0.17647058823529413,0.17647058823529413,
72,1,0.17647058823529413,0.17647058823529413,
54,17,0.1629303940358393,0.1111111111111111,0.1528175888270053
17,124,0.1618819755929014,0.1111111111111111,0.14621114810714173
57,20,0.15895966348752727,0.1111111111111111,0.16112783985870102
40,35,0.15792338527853786,0.1111111111111111,0.13491070801425728
50,21,0.1437537678139182,0.05263157894736842,0.18213667566561548
49,14,0.14374785001719986,0.17647058823529413,0.08177018852518733
65,14,0.143406485401178,0.1437908496732026,0.1367704844679791
32,34,0.14232149555861082,0.08187134502923976,0.1386327704252146
22,82,0.14208000273280044,0.1111111111111111,0.1079332633975129
13,145,0.13928292802532152,0.1111111111111111,0.115683010838272
34,49,0.13678259042194088,0.1111111111111111,0.1414378314792071
94,3,0.1328976034858388,0.1111111111111111,0.03773531171174026
67,11,0.13155549301060135,0.1111111111111111,0.06483782479315059
60,16,0.13139619883040934,0.05263157894736842,0.14465153431401545
89,4,0.12917096663226696,0.1437908496732026,0.05960689181686775
77,5,0.1285689714482284,0.1111111111111111,0.0849673637833458
20,105,0.12573336127073412,0.1111111111111111,0.1150440223937886
14,153,0.12322094212156738,0.1111111111111111,0.11946367628117939
30,45,0.12108883739430695,0.05263157894736842,0.14893400704177565
83,4,0.11977554179566563,0.11455108359133127,0.11405733932957116
45,23,0.11941725584207749,0.1111111111111111,0.1177817368117596
31,62,0.11760822042455918,0.05263157894736842,0.11696095480164029
9,218,0.117213490157791,0.1111111111111111,0.11829594743801004
70,4,0.11601307189542484,0.1437908496732026,0.0832531974042941
99,2,0.11455108359133127,0.11455108359133127,0.0875674032429161
29,70,0.11398851038391064,0.1111111111111111,0.1166884269422102
23,81,0.11234446795162309,0.1111111111111111,0.10884853730377445
322,1,0.1111111111111111,0.1111111111111111,
292,1,0.1111111111111111,0.1111111111111111,
202,1,0.1111111111111111,0.1111111111111111,
331,1,0.1111111111111111,0.1111111111111111,
284,1,0.1111111111111111,0.1111111111111111,
220,1,0.1111111111111111,0.1111111111111111,
116,1,0.1111111111111111,0.1111111111111111,
143,1,0.1111111111111111,0.1111111111111111,
211,1,0.1111111111111111,0.1111111111111111,
201,1,0.1111111111111111,0.1111111111111111,
8,256,0.1091217937495511,0.05263157894736842,0.11651714602487942
35,50,0.10661850705194359,0.1111111111111111,0.09603705014174099
15,114,0.10472108203084249,0.05263157894736842,0.10153296890451897
4,611,0.10288225562759012,0.05263157894736842,0.11221250289787747
26,73,0.10151671819893542,0.05263157894736842,0.11300396993344608
51,15,0.09800727308467246,0.05263157894736842,0.12158272492175742
11,232,0.09779888443347928,0.05263157894736842,0.09868070706274085
33,36,0.09727238848755876,0.08187134502923976,0.08779136683821062
12,172,0.09491616924207463,0.05263157894736842,0.09624446653425887
6,412,0.09301034329589442,0.05263157894736842,0.10352049860656481
66,11,0.09278543953466555,0.1111111111111111,0.06638702900024719
28,65,0.08721917916964356,0.05263157894736842,0.07432175202416122
19,92,0.08649848192518808,0.05263157894736842,0.07891128699568803
62,11,0.08574131406948744,0.05263157894736842,0.09496002597366093
37,58,0.08552779853623241,0.05263157894736842,0.08613347979561524
82,4,0.08505331957344342,0.08187134502923976,0.07598544146764852
16,121,0.0841360612680624,0.05263157894736842,0.0859458688764102
38,44,0.0832121524845983,0.05263157894736842,0.07398708041067117
