method,n_included,n_excluded,real_mean,real_median,null_mean,null_std,z_score
bibliographic_coupling,13555,956,0.06821800332077806,0.05263157894736842,0.0003664668233770663,4.388328085988174e-05,1546.1819437350027
co_citation,10382,4129,0.08643653532886385,0.05263157894736842,0.0004108239653722637,6.295208838220194e-05,1366.526728092044
combined,14341,170,0.0910883956645929,0.05263157894736842,0.0003937061762348029,5.010261691294253e-05,1810.1786907847084
