topic,n,mean,median,std
125,14,0.4482600732600733,0.42857142857142855,0.08589359827916955
109,16,0.2928811116214367,0.25,0.13273705802599217
67,19,0.26091624234039096,0.25,0.15967235453330897
114,16,0.2539684311646386,0.21323529411764708,0.1601385622755292
60,32,0.23320364329942503,0.17647058823529413,0.14995704357788378
90,20,0.23239348370927315,0.25,0.16517071935562544
92,17,0.22756285176609342,0.17647058823529413,0.1343384389559907
50,45,0.22239411584096827,0.25,0.15209554023700864
65,15,0.21613592805543272,0.25,0.12016351395658882
96,22,0.19521843825249396,0.17647058823529413,0.10559380819857615
88,14,0.18550665880387243,0.21323529411764708,0.10577894113089459
94,17,0.17988571152839958,0.1111111111111111,0.16377320245433036
52,30,0.1783879633724835,0.17647058823529413,0.11646136876600227
102,1,0.17647058823529413,0.17647058823529413,
25,64,0.17637779639521126,0.17647058823529413,0.14440079278286888
76,29,0.16488042934610672,0.1111111111111111,0.1454096237562367
58,38,0.1640976796997654,0.17647058823529413,0.1248262350553366
64,34,0.15789401415881107,0.1111111111111111,0.14013205192177788
47,38,0.15548901924574077,0.17647058823529413,0.09387832695359978
121,14,0.15402740043385776,0.1437908496732026,0.12161955074599985
61,26,0.1528803154190151,0.17647058823529413,0.1089587995013658
39,50,0.1517989165976782,0.1437908496732026,0.14058295112846947
30,47,0.15147161170150433,0.1111111111111111,0.12360055766625398
63,27,0.15061983207838042,0.17647058823529413,0.1038490614890275
56,36,0.15018346519894507,0.1111111111111111,0.12343466088781968
123,12,0.1474673202614379,0.1437908496732026,0.11158875742951545
49,44,0.13999375667332323,0.1111111111111111,0.12927317216344827
66,34,0.1395279632850203,0.1111111111111111,0.13363932515780877
97,20,0.1375405425328026,0.1111111111111111,0.11629213368522669
27,55,0.1342507337863375,0.1111111111111111,0.13352046184751842
99,20,0.13386407194456731,0.1111111111111111,0.1297011770070205
104,15,0.1330524022474487,0.1111111111111111,0.08170177029975538
33,67,0.13276753487464638,0.1111111111111111,0.09007016041924147
26,58,0.12987971958293298,0.1111111111111111,0.08286163710744206
86,23,0.12752576240259644,0.1111111111111111,0.08234838106989018
83,21,0.12746092589082417,0.05263157894736842,0.16823358621211695
93,22,0.12532836100947556,0.1111111111111111,0.08151802670948186
35,49,0.12504375183657424,0.1111111111111111,0.09644329747963584
6,123,0.12466470410289786,0.1111111111111111,0.11732939201514386
21,45,0.12459760932413151,0.05263157894736842,0.14658976030933046
110,15,0.12390207545006307,0.1111111111111111,0.07270204792484794
120,11,0.12185655761507154,0.05263157894736842,0.12349813134832234
117,10,0.12013243894048849,0.1111111111111111,0.10634601846038726
4,201,0.11871680074397138,0.1111111111111111,0.12303125031524098
3,182,0.11677432314148539,0.08187134502923976,0.12287519036460691
0,295,0.11625534680580071,0.1111111111111111,0.11233735642284547
