topic,n,mean,median,std
72,35,0.051491473782495446,0.05263157894736842,0.047244809399150364
100,20,0.05044719642242862,0.05263157894736842,0.06251882820755406
7,171,0.0500184068702889,0.05263157894736842,0.06963347275083602
18,98,0.04670815694698932,0.05263157894736842,0.06511918372781236
103,19,0.04653015407455687,0.05263157894736842,0.05438491955400503
54,48,0.04616550567595459,0.05263157894736842,0.0553526486082205
122,16,0.04581613347093223,0.0,0.06413499043775903
46,54,0.04441227433143498,0.0,0.05791003130595325
59,42,0.04367946008812882,0.02631578947368421,0.0562723496237841
38,69,0.043601651186790505,0.0,0.057189580519610324
10,164,0.04310925268695411,0.05263157894736842,0.0530487428749019
19,95,0.042416671192946245,0.05263157894736842,0.052263237015302076
36,54,0.04230051344774427,0.0,0.06747796437798162
34,76,0.04152069415023627,0.0,0.06167386685230266
126,16,0.0402046783625731,0.05263157894736842,0.037407097587515564
68,33,0.03653667740355047,0.0,0.04800662754976845
95,21,0.03341687552213868,0.0,0.040606144726866286
108,15,0.03320720100905859,0.0,0.05211738601573812
32,77,0.03245636372571357,0.0,0.042860338326433677
115,11,0.028708133971291863,0.05263157894736842,0.027485945677215448
116,18,0.02149982800137599,0.0,0.04465675237031745
74,33,0.019315966684387734,0.0,0.0294395531459421
75,25,0.0152046783625731,0.0,0.033678659928208565
