topic,n,mean,median,std
33,78,0.1236619704111964,0.1111111111111111,0.0923491958769658
61,41,0.12260115856355377,0.1111111111111111,0.11211193921163441
79,32,0.1223797084623323,0.1111111111111111,0.09432861773312665
35,75,0.12141481153865054,0.1111111111111111,0.10228661621812044
43,62,0.11662735269546415,0.1111111111111111,0.10250652502725514
27,82,0.11577320273423876,0.05263157894736842,0.11508754280783685
31,80,0.11464568283453733,0.1111111111111111,0.08258372462133373
28,84,0.11404020672596525,0.1111111111111111,0.08741634861442334
14,140,0.11298949404323133,0.1111111111111111,0.10609568639723962
23,92,0.11189859238890064,0.1111111111111111,0.08980279426294452
110,19,0.11176742165010049,0.1111111111111111,0.09165437935865192
97,23,0.11104380730171551,0.1111111111111111,0.0783248381414852
120,16,0.11099286205710354,0.1111111111111111,0.09762208092191953
111,19,0.10963554396827982,0.1111111111111111,0.0768630755916351
21,85,0.10878806233932804,0.05263157894736842,0.12467401881716876
3,264,0.10796902902166061,0.05263157894736842,0.11158196978416669
82,31,0.10796242662316766,0.1111111111111111,0.08935244829032399
2,327,0.1077369335812259,0.1111111111111111,0.10249004584669376
24,91,0.10656016792681984,0.1111111111111111,0.09076992960759825
57,44,0.10515174969509335,0.1111111111111111,0.07723731371131293
117,17,0.10375058176005181,0.05263157894736842,0.11405460800113298
41,65,0.0998312145370969,0.05263157894736842,0.09489599179844796
83,31,0.09935972125126226,0.1111111111111111,0.08283149547190781
0,553,0.09865079635092903,0.05263157894736842,0.11119194100094885
20,97,0.09737021956548943,0.05263157894736842,0.08716452024952769
101,21,0.09597113699280883,0.1111111111111111,0.09767898803644814
45,57,0.09557239331559031,0.1111111111111111,0.08125599083404095
106,20,0.09544633642930857,0.08187134502923976,0.08180090671406114
91,25,0.09463364293085656,0.05263157894736842,0.07903871326577293
29,85,0.09410391607623442,0.05263157894736842,0.10617866846570928
69,36,0.09407608072468754,0.08187134502923976,0.08766512694502793
11,157,0.09380844320502382,0.05263157894736842,0.10774248492531333
16,113,0.09367336439311014,0.05263157894736842,0.08945108783482561
1,544,0.09366575354242673,0.05263157894736842,0.09012144052137243
107,19,0.09184015249682513,0.05263157894736842,0.1101105989900413
70,36,0.09020713548577325,0.05263157894736842,0.0979638014946508
53,49,0.08781056282161988,0.05263157894736842,0.09243146951666738
55,48,0.08765300710927647,0.1111111111111111,0.07865122345750955
81,31,0.08684820844013892,0.05263157894736842,0.08979394243975507
13,153,0.08601729878971426,0.05263157894736842,0.08066580124297482
44,60,0.08526135600439005,0.05263157894736842,0.12522672570567284
105,20,0.08511781905744754,0.1111111111111111,0.06872088440359443
42,63,0.08414476901871859,0.05263157894736842,0.08133774042697461
112,19,0.08234207810548042,0.05263157894736842,0.05679696911905994
36,71,0.08157943187158728,0.05263157894736842,0.10041112143623895
84,29,0.08142355550810766,0.05263157894736842,0.07975201861912706
77,33,0.0804588714805433,0.05263157894736842,0.08223755322741655
