run,n,mean,median
0,14341,0.0004907779339775502,0.0
1,14341,0.00034657734731706973,0.0
2,14341,0.0004352771086656461,0.0
3,14341,0.0004012601606738921,0.0
4,14341,0.0003938286951273597,0.0
5,14341,0.00044054033593810324,0.0
6,14341,0.0004034879512331309,0.0
7,14341,0.0004031971091278198,0.0
8,14341,0.00046068447135728523,0.0
9,14341,0.0004310792722360543,0.0
10,14341,0.0003712670150213205,0.0
11,14341,0.0004514280679761754,0.0
12,14341,0.00032746422360257685,0.0
13,14341,0.0004381809168384194,0.0
14,14341,0.0003065056017868571,0.0
15,14341,0.00040415059149368523,0.0
16,14341,0.000503092248683868,0.0
17,14341,0.00042657978638150235,0.0
18,14341,0.00030936604888445317,0.0
19,14341,0.0003604825983231615,0.0
20,14341,0.00044534629826739765,0.0
21,14341,0.0002975944395499016,0.0
22,14341,0.0003373348649498371,0.0
23,14341,0.00034069604020812343,0.0
24,14341,0.00038084604325327033,0.0
25,14341,0.0003717067048903955,0.0
26,14341,0.0003637805079276122,0.0
27,14341,0.00033033666418905177,0.0
28,14341,0.0003698480139514019,0.0
29,14341,0.0003988974433647666,0.0
30,14341,0.0003339961774831985,0.0
31,14341,0.0003693050087424138,0.0
32,14341,0.000377230648864642,0.0
33,14341,0.0004271648973032328,0.0
34,14341,0.0003206069463361175,0.0
35,14341,0.0004077606316462068,0.0
36,14341,0.0004010757607823804,0.0
37,14341,0.00037359418020269813,0.0
38,14341,0.0005005167754488102,0.0
39,14341,0.00042052919974380944,0.0
40,14341,0.0004149128202374184,0.0
41,14341,0.00045037499681872703,0.0
42,14341,0.0004010877542712591,0.0
43,14341,0.00040386831616614463,0.0
44,14341,0.0004116302451651771,0.0
45,14341,0.00042210664336859494,0.0
46,14341,0.0004072599034855166,0.0
47,14341,0.00044567834657378527,0.0
48,14341,0.0004139693610015446,0.0
49,14341,0.00037759764962433357,0.0
50,14341,0.00032819132886585466,0.0
51,14341,0.0003706242925190829,0.0
52,14341,0.0003825338269757408,0.0
53,14341,0.0003896999365808295,0.0
54,14341,0.00029475198268562373,0.0
55,14341,0.0003247237113937689,0.0
56,14341,0.00039930072442831654,0.0
57,14341,0.00038586596085738486,0.0
58,14341,0.0003466073310392667,0.0
59,14341,0.00035727404021085806,0.0
60,14341,0.0003374682925136138,0.0
61,14341,0.0002909860271776776,0.0
62,14341,0.0004461772757111437,0.0
63,14341,0.000367589939832744,0.0
64,14341,0.000327405870666301,0.0
65,14341,0.0004468357182505904,0.0
66,14341,0.0004473751254129148,0.0
67,14341,0.0004475327541238935,0.0
68,14341,0.00041048915036613604,0.0
69,14341,0.0003846491785767408,0.0
70,14341,0.00041194550258713433,0.0
71,14341,0.000364447645746496,0.0
72,14341,0.00038923818725899534,0.0
73,14341,0.00044895890845325046,0.0
74,14341,0.00033311915360893557,0.0
75,14341,0.0003802886886915165,0.0
76,14341,0.00036088408036337964,0.0
77,14341,0.0004820298831893465,0.0
78,14341,0.0003852866325106496,0.0
79,14341,0.0003511993380937409,0.0
80,14341,0.00033400097487875003,0.0
81,14341,0.00041238412160898787,0.0
82,14341,0.00033818520331134466,0.0
83,14341,0.0004106618566059909,0.0
84,14341,0.00033688767915021286,0.0
85,14341,0.00046751507629064725,0.0
86,14341,0.00039010771520270907,0.0
87,14341,0.00044544278983932507,0.0
88,14341,0.0005098202961076581,0.0
89,14341,0.00036772186821041095,0.0
90,14341,0.0004676066419653567,0.0
91,14341,0.0005087413104474538,0.0
92,14341,0.00037431079116320693,0.0
93,14341,0.0004177498240181538,0.0
94,14341,0.00041814837687935733,0.0
95,14341,0.00038868156087335204,0.0
96,14341,0.0004207487234241805,0.0
97,14341,0.000379096193225852,0.0
98,14341,0.0003354338969625458,0.0
99,14341,0.00043201146615915977,0.0
