Topic,Count,Name,Representation,Representative_Docs
-1,5787,-1_motor_learning_task_motor learning,"['motor', 'learning', 'task', 'motor learning', 'sep', 'control', 'performance', 'training', 'movement', 'practice']","[""Transcutaneous spinal random noise stimulation enhances motor memory consolidation and corticospinal transmission in humans [SEP] Abstract: Stochastic resonance sensory input modulates the central nervous system's excitability, thereby possibly influencing motor skill learning and retention. We investigated the effects of transcutaneous spinal random noise stimulation (tsRNS) at the cervical level on motor skill learning and corticospinal transmission in healthy humans. Participants performed a 20\xa0min visuomotor tracking training task requiring rapid shifts in pinch force, with motor performance tests conducted before, immediately after, 1\xa0day after and 7\xa0days after the training to assess motor skill learning and retention. During the task, participants received real or sham tsRNS for 20 and 0.5\xa0min, respectively. Motor performance improved equally in both groups immediately after training; however, the real tsRNS group showed a higher performance than the sham group at 1 and 7\xa0days post-training. Beta-band corticomuscular coherence increased immediately after training in both groups, and higher performance on 1\xa0day after the training was positively correlated with a greater change in corticomuscular coherence. To elucidate the mechanisms contributing to the enhanced motor memory retention induced by tsRNS, we investigated its effects on cortical and spinal excitability. We observed increased intracortical facilitation and somatosensory evoked potential amplitude following tsRNS; however, the efficacy of cortico-motoneuronal synaptic transmissions and the excitability of spinal motoneurons remained unchanged. Collectively, tsRNS can enhance the corticospinal drive to spinal motoneurons indirectly by increasing the ascending afferent input strength and cortical excitability via the augmented activity of facilitatory interneurons, resulting in improved motor memory retention. Thus, tsRNS may have important clinical applications for rehabilitation after central nervous system lesions. (Figure presented.). Key points: Stochastic resonance sensory input modulates the excitability of the central nervous system and may influence motor skill learning and motor memory retention. Transcutaneous spinal random noise stimulation (tsRNS) applied at the cervical level can enhance motor skill learning and motor memory retention in healthy humans. tsRNS can increase the ascending afferent input to the cortex and the excitability of the intracortical circuits rather than directly modulating the descending motor output, resulting in improved motor memory retention. These findings suggest that tsRNS is an effective strategy for promoting functional motor recovery of the upper limb after the development of central nervous system lesions. © 2025 The Author(s). The Journal of Physiology published by John Wiley & Sons Ltd on behalf of The Physiological Society."", 'Multi-focal Stimulation of the Cortico-cerebellar Loop During the Acquisition of a Novel Hand Motor Skill in Chronic Stroke Survivors [SEP] Impairment of hand motor function is a frequent consequence after a stroke and strongly determines the ability to regain a self-determined life. An influential research strategy for improving motor deficits is the combined application of behavioral training and non-invasive brain stimulation of the motor cortex (M1). However, a convincing clinical translation of the present stimulation strategies has not been achieved yet. One alternative and innovative approach is to target the functionally relevant brain network-based architecture, e.g., the dynamic interactions within the cortico-cerebellar system during learning. Here, we tested a sequential multifocal stimulation strategy targeting the cortico-cerebellar loop. Anodal transcranial direct current stimulation (tDCS) was applied simultaneously to a hand-based motor training in N = 11 chronic stroke survivors during four training sessions on two consecutive days. The tested conditions were: sequential multifocal (M1-cerebellum (CB)-M1-CB) vs. monofocal control stimulation (M1-sham-M1-sham). Additionally, skill retention was assessed 1 and 10 days after the training phase. Paired-pulse transcranial magnetic stimulation data were recorded to characterize stimulation response determining features. The application of CB-tDCS boosted motor behavior in the early training phase in comparison to the control condition. No faciliatory effects on the late training phase or skill retention were detected. Stimulation response variability was related to the magnitude of baseline motor ability and short intracortical inhibition (SICI). The present findings suggest a learning phase-specific role of the cerebellar cortex during the acquisition of a motor skill in stroke and that personalized stimulation strategies encompassing several nodes of the underlying brain network should be considered. © The Author(s) 2023.', 'Parallel contributions of cerebellar, striatal and M1 mechanisms to motor sequence learning [SEP] When learning a new motor sequence, we must execute the correct order of movements while simultaneously optimizing sensorimotor parameters such as trajectory, timing, velocity and force. Neurophysiological studies in animals and humans have identified the major brain regions involved in sequence learning, including the motor cortex (M1), basal ganglia (BG) and cerebellum. Current models link these regions to different stages of learning (early vs. late) or different components of performance (spatial vs. sensorimotor). At the same time, research in motor control has given rise to the concept that internal models at different levels of the motor system may contribute to learning. The goal of this review is to develop a new framework for motor sequence learning that combines stage and component models within the context of internal models. To do this, we review behavioral and neuroimaging studies in humans and neurophysiological studies in animals. Based on this evidence, we present a model proposing that sequence learning is underwritten by parallel, interacting processes, including internal model formation and sequence representation, that are instantiated in specific cerebellar, BG or M1 mechanisms depending on task demands and the stage of learning. The striatal system learns predictive stimulus-response associations and is critical for motor chunking. The role of the cerebellum is to acquire the optimal internal model for sequence performance in a particular context, and to contribute to error correction and control of on-going movement. M1 acts to store the representation of a learned sequence, likely as part of a distributed network including the parietal lobe and premotor cortex. © 2011 Elsevier B.V.']"
0,592,0_surgical_laparoscopic_skills_surgery,"['surgical', 'laparoscopic', 'skills', 'surgery', 'simulation', 'training', 'medical', 'students', 'residents', 'surgeons']","['Development of laparoscopic skills in medical students naive to surgical training [SEP] OBJECTIVE: To assess the acquisition of basic laparoscopic skills of Medical students trained on a surgical simulator.METHODS: First- and second-year Medical students participated on a laparoscopic training program on simulators. None of the students had previous classes of surgical technique, exposure to surgical practice nor training prior to the enrollment in to the study. Students´ time were collected before and after the 150-minute training. Skill acquisition was measured comparing time and scores of students and senior instructors of laparoscopic surgery.RESULTS: Sixty-eight students participated of the study, with a mean age of 20.4 years, with a predominance of first-year students (62%). All students improved performance in score and time, after training (p<0,001). Score improvement in the exercises ranged from 294.1 to 823%. Univariate and multivariate analyses identified that second-year Medical students have achieved higher performance after training.CONCLUSIONS: Medical students who had never been exposed to surgical techniques can acquire basic laparoscopic skills after training in simulators. Second-year undergraduates had better performance than first-year students.', ""Perceptions, training experiences, and preferences of surgical residents toward laparoscopic simulation training: A resident survey [SEP] Introduction Simulation training for surgical residents can shorten learning curves, improve technical skills, and expedite competency. Several studies have shown that skills learned in the simulated environment are transferable to the operating room. Residency programs are trying to incorporate simulation into the resident training curriculum to supplement the hands-on experience gained in the operating room. Despite the availability and proven utility of surgical simulators and simulation laboratories, they are still widely underutilized by surgical trainees. Studies have shown that voluntary use leads to minimal participation in a training curriculum. Although there are several simulation tools, there is no clear evidence of the superiority of one tool over the other in skill acquisition. The purpose of this study was to explore resident perceptions, training experiences, and preferences regarding laparoscopic simulation training. Our goal was to profile resident participation in surgical skills simulation, recognize potential barriers to voluntary simulator use, and identify simulation tools and tasks preferred by residents. Furthermore, this study may help to inform whether mandatory/protected training time, as part of the residents' curriculum is essential to enhance participation in the simulation laboratory. Methods A cross-sectional study on general surgery residents (postgraduate years 1-5) at Yale University School of Medicine and the University of Toronto via an online questionnaire was conducted. Overall, 67 residents completed the survey. The institutional review board approved the methods of the study. Results Overall, 95.5% of the participants believed that simulation training improved their laparoscopic skills. Most respondents (92.5%) perceived that skills learned during simulation training were transferrable to the operating room. Overall, 56.7% of participants agreed that proficiency in a simulation curriculum should be mandatory before operating room experience. The simulation laboratory was most commonly used during work hours; lack of free time during work hours was most commonly cited as a reason for underutilization. Factors influencing use of the simulation laboratory in order of importance were the need for skill development, an interest in minimally invasive surgery, mandatory/protected time in a simulation environment as part of the residency program curriculum, a recommendation by an attending surgeon, and proximity of the simulation center. The most preferred simulation tool was the live animal model followed by cadaveric tissue. Virtual reality simulators were among the least-preferred (25%) simulation tools. Most residents (91.0%) felt that mandatory/protected time in a simulation environment should be introduced into resident training protocols. Conclusions Mandatory and protected time in a simulation environment as part of the resident training curriculum may improve participation in simulation training. A comprehensive curriculum, which includes the use of live animals, cadaveric tissue, and virtual reality simulators, may enhance the laparoscopic training experience and interest level of surgical trainees. © 2014 Association of Program Directors in Surgery."", 'Retention of laparoscopic skills in naive medical students who underwent short training [SEP] Background: Simulators are useful tools in the development of laparoscopic skills. However, little is known about the effectiveness of short laparoscopic training sessions and how retention of skills occurs in surgical trainees who are naïve to laparoscopy. This study analyses the retention of laparoscopic surgical skills in medical students without prior surgical training. Methods: A group of first- and second-year medical students (n\xa0=\xa068), without prior experience in surgery or laparoscopy, answered a demographic questionnaire and had their laparoscopic skills assessed by the Fundamentals of Laparoscopic Surgery (FLS) training protocol. Subsequently, they underwent a 150-minute training course after which they were re-tested. One year after the training, the medical students’ performance in the simulator was re-evaluated in order to analyse retention. Results: Of the initial 68 students, a total of 36 participated throughout the entire study, giving a final participation rate of 52\xa0%. Thirty-six medical students with no gender predominance and an average age of 20\xa0years were evaluated. One year after the short training programme, retention was 69.3\xa0% in the peg transfer (p\xa0<\xa00.05) and 64.2\xa0% in ligature (p\xa0<\xa00.05) compared with immediate post-training evaluation. There was no significant difference in suturing. The average sample score in the baseline test was 8.3, in the post-training test it was 89.7, and in the retention test it was 84.2, which corresponded to a skill retention equivalence of 93\xa0%. Conclusions: There was a significant retention of the laparoscopic surgical skills developed. Even 1\xa0year after a short training session, medical students without previous surgical experience showed that they have retained a great part of the skills acquired through training. © 2016, Springer Science+Business Media New York.']"
1,544,1_adaptation_visuomotor_visual_errors,"['adaptation', 'visuomotor', 'visual', 'errors', 'force', 'error', 'implicit', 'feedback', 'rotation', 'hand']","['Plan-based generalization shapes local implicit adaptation to opposing visuomotor transformations [SEP] The human ability to use different tools demonstrates our capability of forming and maintaining multiple, context-specific motor memories. Experimentally, this has been investigated in dual adaptation, where participants adjust their reaching movements to opposing visuomotor transformations. Adaptation in these paradigms occurs by distinct processes, such as strategies for each transformation or the implicit acquisition of distinct visuomotor mappings. Although distinct, transformation-dependent aftereffects have been interpreted as support for the latter, they could reflect adaptation of a single visuomotor map, which is locally adjusted in different regions of the workspace. Indeed, recent studies suggest that explicit aiming strategies direct where in the workspace implicit adaptation occurs, thus potentially serving as a cue to enable dual adaptation. Disentangling these possibilities is critical to understanding how humans acquire and maintain motor memories for different skills and tools. We therefore investigated generalization of explicit and implicit adaptation to untrained movement directions after participants practiced two opposing cursor rotations, which were associated with the visual display being presented in the left or right half of the screen. Whereas participants learned to compensate for opposing rotations by explicit strategies specific to this visual workspace cue, aftereffects were not cue sensitive. Instead, aftereffects displayed bimodal generalization patterns that appeared to reflect locally limited learning of both transformations. By varying target arrangements and instructions, we show that these patterns are consistent with implicit adaptation that generalizes locally around movement plans associated with opposing visuomotor transformations. Our findings show that strategies can shape implicit adaptation in a complex manner. NEW & NOTEWORTHY Visuomotor dual adaptation experiments have identified contextual cues that enable learning of separate visuomotor mappings, but the underlying representations of learning are unclear. We report that visual workspace separation as a contextual cue enables the compensation of opposing cursor rotations by a combination of explicit and implicit processes: Learners developed context-dependent explicit aiming strategies, whereas an implicit visuomotor map represented dual adaptation independent from arbitrary context cues by local adaptation around the explicit movement plan. © 2018 the American Physiological Society.', 'Task-relevant visual feedback uncertainty attenuates visuomotor adaptation [SEP] Motor adaptation is attenuated when sensory feedback about the movement is uncertain. Although this was initially shown for small visual errors, attenuation seems not to hold when visual errors are larger and the contributions of implicit adaptation are isolated with the error-clamp method, which makes visual feedback task-irrelevant. Here we ask whether adaptation to a similarly large perturbation is attenuated when task-relevant visual feedback is uncertain. In a first experiment, we tested participants on a 30_ movement-contingent visuomotor rotation under both low (cursor) and high (cloud of moving dots) visual feedback uncertainty. In line with optimal integration, we found that the early increase in adaptation and final extent of adaptation were reduced with high feedback uncertainty. In a second experiment, we included several blocks of no-feedback trials during the perturbation block to quantify the contribution of implicit adaptation. Results showed that implicit adaptation was smaller with high compared to low feedback uncertainty throughout the perturbation block. The estimated contribution of explicit adaptation was overall small, particularly for high feedback uncertainty. Our results demonstrate an influence of task-relevant visual feedback, and the resulting target errors, on implicit adaptation. We show that our motor system is sensitive to the feedback it receives even for larger error sizes and accordingly adjusts its learning properties when our ability to achieve the task goal is affected. © 2024 The Authors.', 'Target size matters: Target errors contribute to the generalization of implicit visuomotor learning [SEP] The process of sensorimotor adaptation is considered to be driven by errors. While sensory prediction errors, defined as the difference between the planned and the actual movement of the cursor, drive implicit learning processes, target errors (e.g., the distance of the cursor from the target) are thought to drive explicit learning mechanisms. This distinction was mainly studied in the context of arm reaching tasks where the position and the size of the target were constant. We hypothesize that in a dynamic reaching environment, where subjects have to hit moving targets and the targets’ dynamic characteristics affect task success, implicit processes will benefit from target errors as well. We examine the effect of target errors on learning of an unnoticed perturbation during unconstrained reaching movements. Subjects played a Pong game, in which they had to hit a moving ball by moving a paddle controlled by their hand. During the game, the movement of the paddle was gradually rotated with respect to the hand, reaching a final rotation of 25°. Subjects were assigned to one of two groups: The high-target error group played the Pong with a small ball, and the low-target error group played with a big ball. Before and after the Pong game, subjects performed open-loop reaching movements toward static targets with no visual feedback. While both groups adapted to the rotation, the postrotation reaching movements were directionally biased only in the small-ball group. This result provides evidence that implicit adaptation is sensitive to target errors. © 2016 the American Physiological Society.']"
2,327,2_sleep_consolidation_memory_memory consolidation,"['sleep', 'consolidation', 'memory', 'memory consolidation', 'spindles', 'sleepdependent', 'nap', 'night', 'offline', 'spindle']","['Slow wave sleep and REM Sleep awakenings do not affect sleep dependent memory consolidation [SEP] Study Objectives: The effects of REM sleep and slow wave sleep (SWS) deprivation on sleep-dependent motor and declarative memory consolidation. Design: Randomized, within-subject, cross-over study Setting: Weekly (women: monthly) sleep laboratory visits, with retest 60 hours later Participants: Twelve healthy subjects (6 men) aged between 20 and 30 years Interventions: REM sleep deprivation, SWS deprivation, or undisturbed sleep Measurements and Results: We deprived subjects once each of REM sleep and SWS, and once let them sleep undisturbed through the night. After each night, we tested declarative and procedural memory consolidation. We tested memory performance by a verbal paired associate task and a sequential finger-tapping task at 21:00 on the study night and again 60 hours later. Although REM sleep and SWS awakenings led to a significant reduction of the respective sleep stages, memory consolidation remained unaffected. We also found a significant correlation between the declarative task and sleep spindles in the undisturbed condition, especially the sleep spindles in the first third of the night. Conclusion: We suggest that word-pair learning relies on stage 2 sleep spindles and requires little SWS. Their sleep dependent consolidation is not affected by SWS deprivation. Simple motor tasks may either be consolidated in stage 2 sleep or depend on only small amounts of REM sleep. Their sleep dependent consolidation is not influenced by REM sleep deprivation.', ""Temporal cluster-based organization of sleep spindles underlies motor memory consolidation [SEP] Sleep benefits motor memory consolidation, which is mediated by sleep spindle activity and associated memory reactivations during non-rapid eye movement (NREM) sleep. However, the particular role of NREM2 and NREM3 sleep spindles and the mechanisms triggering this memory consolidation process remain unclear. Here, simultaneous electroencephalographic and functional magnetic resonance imaging (EEG-fMRI) recordings were collected during night-time sleep following the learning of a motor sequence task. Adopting a time-based clustering approach, we provide evidence that spindles iteratively occur within clustered and temporally organized patterns during both NREM2 and NREM3 sleep. However, the clustering of spindles in trains is related to motor memory consolidation during NREM2 sleep only. Altogether, our findings suggest that spindles' clustering and rhythmic occurrence during NREM2 sleep may serve as an intrinsic rhythmic sleep mechanism for the timed reactivation and subsequent consolidation of motor memories, through synchronized oscillatory activity within a subcortical-cortical network involved during learning. © 2024 The Author(s)."", 'The critical role of sleep spindles in hippocampal-dependent memory: A pharmacology study [SEP] An important function of sleep is the consolidation of memories, and features of sleep, such as rapid eye movement (REM) or sleep spindles, have been shown to correlate with improvements in discrete memory domains. Because of the methodological difficulties in modulating sleep, however, a causal link between specific sleep features and human memory consolidation is lacking. Here, we experimentally manipulated specific sleep features during a daytime nap via direct pharmacological intervention. Using zolpidem (Ambien), a short-acting GABA<inf>A</inf> agonist hypnotic, we show increased sleep spindle density and decreased REM sleep compared with placebo and sodium oxybate (Xyrem). Naps with increased spindles produced significantly better verbal memory and significantly worse perceptual learning but did not affect motor learning. The experimental spindles were similar to control spindles in amplitude and frequency, suggesting that the experimental intervention enhanced normal sleep processes. Furthermore, using statistical methods, we demonstrate for the first time a critical role of spindles in human hippocampal memory performance. The gains in memory consolidation exceed sleep-alone or control conditions and demonstrate the potential for targeted, exceptional memory enhancement in healthy adults with pharmacologically modified sleep. © 2013 the authors.']"
3,270,3_players_sport_coaches_sports,"['players', 'sport', 'coaches', 'sports', 'soccer', 'constraints', 'games', 'development', 'ecological', 'youth']","['Nonlinear pedagogy in skill acquisition: An introduction [SEP] Nonlinear pedagogy is a powerful paradigm for understanding human movement and for designing effective teaching, coaching and training programs in sport, exercise and physical education. It addresses the inherent complexity in the learning of movement skills, viewing the learner, the learning environment and the teacher or coach as a complex interacting system, with the constraints of individual practice tasks providing the platform for functional movement behaviours to emerge. This is the first book to explain this profoundly important new approach to skill acquisition, introducing key theoretical ideas and best practice for students, teachers and coaches. The first section of the book offers a general theoretical framework to explain processes of skill acquisition and the learning of movement skills. The book then defines nonlinear pedagogy, and outlines its key principles of practice. It offers a thorough and critical appraisal of the optimal use of instructional constraints and practice design, and discusses methods for creating challenging and supportive individualised learning environments at developmental, sub-elite and elite levels of performance. Every chapter contains cases and examples from sport and exercise contexts, providing guidance on practice activities and lessons. Nonlinear Pedagogy in Skill Acquisition is an essential companion for any degree level course in skill acquisition, motor learning, sport science, sport pedagogy, sports coaching practice, or pedagogy or curriculum design in physical education. © 2016 J. Chow, K. Davids, C. Button & I. Renshaw.', 'Principles of nonlinear pedagogy in sport practice [SEP] Background: There are deeply relevant questions concerning how to integrate and organise various nonlinear pedagogical strategies and methods in order to structure training in the professional development of Physical Education (PE) teachers and sport coaches. To promote the emergence and development of innovative and adaptive performance behaviours in sport, nonlinear pedagogy advocates the methodology of constraints manipulation to facilitate learning. Sport pedagogues have to manage and apply different constraint manipulations at varying times in practice contexts, that is, while planning before/following a learning session (i.e. designing the micro-structure of practice) and in interactions during the session. In nonlinear pedagogy, the design of practice micro-structure is predicated on the continuous, intertwined relationships between decision-making, action, perception and cognition in sport performance and learning contexts. Purpose: Here, we present an analysis of the activities that pedagogues engage in to facilitate learning and performance in sport (i.e. the micro-structure of practice) during practical interventions in sport and exercise contexts, based on the use of a Constraints-led approach by PE teachers and coaches. Method: Based on data from illustrative studies on performance analysis and constraints manipulation, we exemplify some of the main principles and assumptions of nonlinear pedagogy. This synthesis, framed in a nonlinear pedagogy, aims to reveal how adopting a constraint led approach can straightforwardly enhance learning designs of sport practitioners. Conclusions: This article shares insights from a nonlinear pedagogy that can frame the micro-structure of practice during interventions, compared to utilization of traditional pedagogical practices. It is proposed that PE teachers and coaches are designers of learning environments and that both learning and performance improvement are seen as emerging from the interaction of key constraints (related to task, learner and environment). © 2018, © 2018 Association for Physical Education.', 'What can coaches and physical education teachers learn from a constraints-led approach in para-sport? [SEP] Background: Skill acquisition is still a relatively new and emerging specialist discipline in the sport sciences. Like other disciplines, current service support in Paralympic sport is limited, often based on theory adapted from able-bodied sport, or findings from research programmes that are not representative of elite sport contexts. The application of skill acquisition principles and pedagogical research is an opportunity to support the development of practice task designs in para-sport contexts. Of interest is the individualised nature of athlete impairments, requiring a flexible and imaginative approach, particularly given potential barriers between theory and practice. The Constraints-Led Approach (CLA) provides one potential solution; a functional framework for understanding interacting factors on athlete performance and learning. Despite the advocacy for a broad application of this approach in recent years, this has still had limited impact or research situated in elite sport. Purpose: To begin to bridge the gap between theory and practice, we consider the experiences of a skill acquisition specialist (SAS) working with para-sport coaches and athletes. We highlight key issues and challenges in these contexts, and how and why a CLA has been central to skill acquisition support. Furthermore, we aim to demonstrate how the need to pay careful attention to individual and environmental constraints in para-sport can highlight universal recommendations for practitioners who work in physical education (PE) or able-bodied coaching. Design: These aims are achieved via a reflective ‘conversation’ between the two authors. Commentaries are provided to compare experiences of the first author with current understandings within the literature. A case-study is then used to provide insights to bring to life how the framework of a CLA was used to support task designs for an athlete preparing for the 2016 Rio Paralympic Games. Findings: Reflections highlight the importance of the SAS gathering knowledge within and about specific athletes and contexts by immersing themselves in the performance environment to fully understand the complexities of the coaching environment, and adapt support accordingly. Discussions highlight the importance of working closely with coaches to harness experiential knowledge and design truly individualised tasks that match the individual needs of athletes. Considering impairment as simply one of many interacting individual constraints can allow for more effective task designs and provide useful examples for practitioners across a wider range of contexts (e.g. able-bodied sport, PE). We demonstrate how a CLA should be considered as a flexible framework, and that implementation needs to be carefully designed based on a range of factors (e.g. socio-cultural, coaching contexts). We also stress that an effective CLA is not a ‘hands-off’ approach, but constant careful and considered manipulation, facilitation and appropriate instructional input. Examples and key reflections are provided for coaches across all sport and PE contexts to consider when looking to implement a CLA. Conclusions: A CLA can support the development of individualised learning programmes and integration of key skill acquisition principles. Practitioners should look to consider the individual constraints, socio-cultural and coaching context to adapt current frameworks and knowledge to support coaches to continually improve practice task designs. © 2019, © 2019 Association for Physical Education.']"
4,248,4_walking_splitbelt_treadmill_step,"['walking', 'splitbelt', 'treadmill', 'step', 'gait', 'locomotor', 'adaptation', 'splitbelt treadmill', 'step length', 'asymmetry']","['Comparing the effects of adapting to a weight on one leg during treadmill and overground walking: A pilot study [SEP] Background Locomotor adaptation has been suggested as a way to improve gait symmetry in individuals post-stroke. Most perturbation methods utilize costly, specialized equipment. The use of a unilateral leg weight may provide a low cost, clinically translatable alternative. Furthermore, previous studies have suggested that adaptation context may affect movement outcomes. The purpose of this study was to assess the ability of a unilaterally applied ankle weight to drive locomotor adaptation and determine the effect of context (treadmill versus overground) in young, non-disabled participants. Methods Eighteen young non-disabled adults were randomly assigned to receive 10 min of walking on a treadmill with a weight (TG), overground with a weight (OG) or as a control on a treadmill/overground without a weight (CG). Outcomes measured before, during and after adaptation were: step length symmetry, single limb support symmetry and gait speed. Results After adding the weight, single limb support immediately became asymmetrical for all participants without changes in step length symmetry. After walking for 10 min, TG step length became asymmetrical. After weight removal, both TG and OG had increased step length asymmetry. TG decreased single limb support asymmetry while OG did not. After walking overground without the weight, walking parameters eventually returned to baseline in both weighted groups. The control group showed no changes. Conclusion A unilaterally applied ankle weight appears able to cause gait adaptation in young, non-disabled participants. However different adaptive changes in the gait pattern are made by the nervous system when the perturbation is applied in different contexts. © 2017 Elsevier B.V.', ""Locomotor adaptation and locomotor adaptive learning in Parkinson's disease and normal aging [SEP] Objective: Locomotor adaptation enables safe, efficient navigation among changing environments. We investigated how healthy young (HYA) and older (HOA) adults and persons with Parkinson's disease (PD) adapt to walking on a split-belt treadmill, retain adapted gait parameters during re-adaptation, and store aftereffects to conventional treadmill walking. Methods: Thirteen PD, fifteen HYA, and fifteen HOA walked on a split-belt treadmill for ten minutes with one leg twice as fast as the other. Participants later re-adapted to the same conditions to assess retention of the split-belt gait pattern. After re-adaptation, we assessed aftereffects of this pattern during conventional treadmill walking. Results: Persons with PD exhibited step length asymmetry throughout many adaptation and adaptive learning conditions. Early adaptation was similar across groups, though HYA and HOA continued to adapt into late adaptation while PD did not. Despite pervasive step length asymmetry among conditions which were symmetric in HYA and HOA, persons with PD demonstrated significant step length aftereffects during conventional treadmill walking after split-belt walking. Conclusions: Though they may exhibit a default asymmetry under various walking conditions, persons with PD can adapt and store new walking patterns. Significance: Locomotor adaptation therapy may be effective in ameliorating asymmetric gait deficits in persons with PD. © 2013 International Federation of Clinical Neurophysiology."", 'Different Error Size During Locomotor Adaptation Affects Transfer to Overground Walking Poststroke [SEP] Background. Studies in neurologically intact subjects suggest that the gradual presentation of small perturbations (errors) during learning results in better transfer of a newly learned walking pattern to overground walking. Whether the same result would be true after stroke is not known. Objective. To determine whether introducing gradual perturbations, during locomotor learning using a split-belt treadmill influences learning the novel walking pattern or transfer to overground walking poststroke. Methods. Twenty-six chronic stroke survivors participated and completed the following walking testing paradigm: baseline overground walking; baseline treadmill walking; split-belt treadmill/adaptation period (belts moving at different speeds); catch trial (belts at same speed); post overground walking. Subjects were randomly assigned to the Gradual group (gradual changes in treadmill belts speed during adaptation) or the Abrupt group (a single, large, abrupt change during adaptation). Step length asymmetry adaptation response on the treadmill and transfer of learning to overground walking was assessed. Results. Step length asymmetry during the catch trial was the same between groups (P =.195) confirming that both groups learned a similar amount. The magnitude of transfer to overground walking was greater in the Gradual than in the Abrupt group (P =.041). Conclusions. The introduction of gradual perturbations (small errors), compared with abrupt (larger errors), during a locomotor adaptation task seems to improve transfer of the newly learned walking pattern to overground walking poststroke. However, given the limited magnitude of transfer, future studies should examine other factors that could impact locomotor learning and transfer poststroke. © The Author(s) 2018.']"
5,220,5_tdcs_stimulation_anodal_direct current,"['tdcs', 'stimulation', 'anodal', 'direct current', 'transcranial direct', 'current stimulation', 'direct', 'transcranial', 'sham', 'current']","['Is effect of transcranial direct current stimulation on visuomotor coordination dependent on task difficulty? [SEP] Transcranial direct current stimulation (tDCS), an emerging technique for non-invasive brain stimulation, is increasingly used to induce changes in cortical excitability and modulate motor behavior, especially for upper limbs. The purpose of this study was to investigate the effects of tDCS of the primary motor cortex on visuomotor coordination based on three levels of task difficulty in healthy subjects. Thirty-eight healthy participants underwent real tDCS or sham tDCS. Using a single-blind, sham-controlled crossover design, tDCS was applied to the primary motor cortex. For real tDCS conditions, tDCS intensity was 1 mA while stimulation was applied for 15 minutes. For the sham tDCS, electrodes were placed in the same position, but the stimulator was turned off after 5 seconds. Visuomotor tracking task, consisting of three levels (levels 1, 2, 3) of difficulty with higher level indicating greater difficulty, was performed before and after tDCS application. At level 2, real tDCS of the primary motor cortex improved the accurate index compared to the sham tDCS. However, at levels 1 and 3, the accurate index was not significantly increased after real tDCS compared to the sham tDCS. These findings suggest that tasks of moderate difficulty may improve visuomotor coordination in healthy subjects when tDCS is applied compared with easier or more difficult tasks. © 2015, Neural Regeneration Research. All rights reserved.', 'Task-specific effect of transcranial direct current stimulation on motor learning [SEP] Transcranial direct current stimulation (tDCS) is a relatively new non-invasive brain stimulation technique that modulates neural processes. When applied to the human primary motor cortex (M1), tDCS has beneficial effects on motor skill learning and consolidation in healthy controls and in patients. However, it remains unclear whether tDCS improves motor learning in a general manner or whether these effects depend on which motor task is acquired. Here we compare whether the effect of tDCS differs when the same individual acquires (1) a Sequential Finger Tapping Task (SEQTAP) and (2) a Visual Isometric Pinch Force Task (FORCE). Both tasks have been shown to be sensitive to tDCS applied over M1, however, the underlying processes mediating learning and memory formation might benefit differently from anodal-tDCS. Thirty healthy subjects were randomly assigned to an anodal-tDCS group or sham-group. Using a doubleblind, sham-controlled cross-over design, tDCS was applied over M1 while subjects acquired each of the motor tasks over 3 consecutive days, with the order being randomized across subjects. We found that anodal-tDCS affected each task differently: The SEQTAP task benefited from anodal-tDCS during learning, whereas the FORCE task showed improvements only at retention. These findings suggest that anodal tDCS applied over M1 appears to have a task-dependent effect on learning and memory formation. © 2013 Saucedo_marquez, Zhang, Swinnen, Meesen and Wenderoth.', 'Timing-Dependent Priming Effects of Anodal tDCS on Two-Hand Coordination [SEP] The aim of study was to investigate the interaction of time of applying anodal transcranial direct current stimulation (tDCS) with motor learning using a two-hand coordination (THC) task. Sixty-four healthy participants were tested under four stimulation conditions: Anodal tDCS a head of the motor task, anodal tDCS during the motor task, anodal tDCS following the motor task, and sham tDCS. Transcranial direct current stimulation (tDCS) stimulation was applied on cerebellum by using a weak direct current (15 min) of 1.5 mA generated by a battery and regulated by the drive stimulator. The results show that on-line learning increased in the anodal tDCS-during group (p = .039). The anodal tDCS-After group relied more on off-line learning (p = .05). The during-TDCS and after-TDCS groups achieved greater improvements in speed/ accuracy than the before-TDCS and sham-TDCS groups. The cerebellar tDCS may play a significant role to speed up motor skill acquisition and improve motor skill accuracy. © 2020 Hogrefe Publishing GmbH. All rights reserved.']"
