run,n,mean,median
0,10382,0.0005855015493035095,0.0
1,10382,0.00048534898756063275,0.0
2,10382,0.00043510582371900455,0.0
3,10382,0.000518516127347768,0.0
4,10382,0.0005840883247890672,0.0
5,10382,0.0005058986979462283,0.0
6,10382,0.00026114566656574044,0.0
7,10382,0.0004616001889168473,0.0
8,10382,0.00051522077296921,0.0
9,10382,0.0005959677533796947,0.0
10,10382,0.0004183913745026006,0.0
11,10382,0.00042321444321914887,0.0
12,10382,0.00030314301889360643,0.0
13,10382,0.00045624904698315867,0.0
14,10382,0.0003881814447314512,0.0
15,10382,0.0005270283126008652,0.0
16,10382,0.000515699736856353,0.0
17,10382,0.00042761091161126226,0.0
18,10382,0.0004166269886947435,0.0
19,10382,0.00035242363986728636,0.0
20,10382,0.00035559415004548963,0.0
21,10382,0.0003541693877968915,0.0
22,10382,0.0003973036506981302,0.0
23,10382,0.00039055673877090206,0.0
24,10382,0.0003752260484709418,0.0
25,10382,0.0004269645026591885,0.0
26,10382,0.00036052283340546606,0.0
27,10382,0.0003871480779261452,0.0
28,10382,0.0003963887379634925,0.0
29,10382,0.0005130987174025165,0.0
30,10382,0.0004067820472269588,0.0
31,10382,0.00040012832469099065,0.0
32,10382,0.0004305914747293998,0.0
33,10382,0.00042861155858585923,0.0
34,10382,0.00035585093859029517,0.0
35,10382,0.0003600341068201911,0.0
36,10382,0.00045708775150449926,0.0
37,10382,0.0005457029932664411,0.0
38,10382,0.00044075351500443634,0.0
39,10382,0.0005875839623990001,0.0
40,10382,0.00038829741375168587,0.0
41,10382,0.0005574949717489525,0.0
42,10382,0.0005008344018340183,0.0
43,10382,0.000476650127685678,0.0
44,10382,0.0005754237822772431,0.0
45,10382,0.0004490509800664969,0.0
46,10382,0.00043973381597651513,0.0
47,10382,0.0005691349479799422,0.0
48,10382,0.0004055788686420233,0.0
49,10382,0.00039469937701158323,0.0
50,10382,0.0005445805788205977,0.0
51,10382,0.0004614991301992142,0.0
52,10382,0.0005098909314678093,0.0
53,10382,0.0004700290658125515,0.0
54,10382,0.00041827540548236585,0.0
55,10382,0.0003929444580625208,0.0
56,10382,0.0004155169995010681,0.0
57,10382,0.0004909631306652109,0.0
58,10382,0.000385776566758267,0.0
59,10382,0.0004099405463280663,0.0
60,10382,0.00038811517671988847,0.0
61,10382,0.00044250464720998084,0.0
62,10382,0.0003703077194877721,0.0
63,10382,0.00028549916081503554,0.0
64,10382,0.0003290107372071095,0.0
65,10382,0.000522801815286486,0.0
66,10382,0.0004601070877813251,0.0
67,10382,0.00046947454455865354,0.0
68,10382,0.0004786952650246646,0.0
69,10382,0.00037408955207264143,0.0
70,10382,0.0004296138622607452,0.0
71,10382,0.00040382276633561153,0.0
72,10382,0.00044542280643343864,0.0
73,10382,0.0004407651119064598,0.0
74,10382,0.0004074509399686698,0.0
75,10382,0.00046495664549700083,0.0
76,10382,0.0003186331665963894,0.0
77,10382,0.0006249823147244142,0.0
78,10382,0.0004191327478819584,0.0
79,10382,0.0003579466644559658,0.0
80,10382,0.0005260236240057828,0.0
81,10382,0.00042687367998262715,0.0
82,10382,0.0004087694958951653,0.0
83,10382,0.0005016343514021681,0.0
84,10382,0.0004559570535572105,0.0
85,10382,0.0004318872692324182,0.0
86,10382,0.0003783427158897504,0.0
87,10382,0.000418615443216697,0.0
88,10382,0.0005553839214056082,0.0
89,10382,0.000386930636013205,0.0
90,10382,0.00043256367629329763,0.0
91,10382,0.0005377172836980626,0.0
92,10382,0.0004136614951773123,0.0
93,10382,0.000570801410967142,0.0
94,10382,0.0004681974061393847,0.0
95,10382,0.00045550501104976493,0.0
96,10382,0.00045067880643624085,0.0
97,10382,0.00042128935748325224,0.0
98,10382,0.0003931867504797969,0.0
99,10382,0.0005056812560332883,0.0
