topic,n,mean,median,std
83,28,0.34700172241636196,0.3333333333333333,0.17965509450025718
81,33,0.3454647061458207,0.42857142857142855,0.1727991282891494
77,37,0.30700375127619706,0.3333333333333333,0.14070332787587914
76,37,0.2777701663150579,0.25,0.1660975372243883
69,45,0.27377432604470786,0.25,0.17573143077989414
73,39,0.22008636666888629,0.1111111111111111,0.20474700528411646
78,36,0.21924051896962113,0.17647058823529413,0.1739143079925806
80,33,0.2092577758212433,0.17647058823529413,0.10907110540153811
56,55,0.1850919634201368,0.17647058823529413,0.11146595334990589
60,51,0.18461104110348328,0.17647058823529413,0.12982251335004985
64,47,0.18127975340938912,0.17647058823529413,0.1623215810614064
68,45,0.17945124668550883,0.17647058823529413,0.12322523300066723
30,108,0.17387566312574912,0.17647058823529413,0.1430319045153
82,28,0.17158003552298112,0.17647058823529413,0.136669987920556
9,182,0.17114127910065718,0.17647058823529413,0.13010265474755292
40,87,0.1520211695828222,0.1111111111111111,0.12725977061516622
62,50,0.14754115681360264,0.1437908496732026,0.10129061527550673
18,155,0.14636469537098717,0.1111111111111111,0.10380192842757992
10,178,0.14112686197164578,0.1111111111111111,0.11986357050356815
44,85,0.1393699068894844,0.1111111111111111,0.1040022348749882
20,130,0.1391930051372776,0.1111111111111111,0.10884070584733521
34,108,0.13868993016309836,0.1111111111111111,0.11155552872590763
25,114,0.13786655486590307,0.1111111111111111,0.1273044489884131
15,166,0.1375626799831358,0.1111111111111111,0.12472612256740888
53,57,0.13742307065592058,0.1111111111111111,0.13061813356084362
46,79,0.1367339655245757,0.1111111111111111,0.15173910714423325
17,162,0.13281130082529005,0.1111111111111111,0.13796995458774752
59,50,0.1327578750798565,0.1111111111111111,0.09773043022875824
45,83,0.13251407744861435,0.1111111111111111,0.11784526181666784
47,71,0.13235830531866813,0.1111111111111111,0.10813351955734161
48,69,0.12912093390623475,0.1111111111111111,0.10474638920641996
5,290,0.1286090577512591,0.1111111111111111,0.11141133608659977
8,216,0.1280718940247664,0.1111111111111111,0.10744462312862155
61,52,0.12771228599401974,0.1111111111111111,0.09027180979520327
39,95,0.12663030124330435,0.1111111111111111,0.10368787590167597
21,125,0.12552357515205811,0.1111111111111111,0.10891548324534274
67,45,0.124625288711976,0.1111111111111111,0.10709238209629128
63,49,0.12434798480795828,0.1111111111111111,0.09928480719789148
33,109,0.12429966353191847,0.1111111111111111,0.10871955628580512
74,38,0.12298127930766027,0.1111111111111111,0.10107687175410517
29,111,0.12065814155597437,0.1111111111111111,0.10039755708416635
35,91,0.1187277360856104,0.1111111111111111,0.11840585971731367
43,89,0.11821283427016199,0.1111111111111111,0.11192981153150784
36,105,0.1173331590845965,0.1111111111111111,0.11836322495254215
52,57,0.11405470159747494,0.1111111111111111,0.11189681508766385
32,111,0.11245101802377344,0.1111111111111111,0.09771617702351428
75,38,0.11157052848840368,0.1111111111111111,0.10079772268825397
50,64,0.11135759128212688,0.1111111111111111,0.09785395603444356
58,54,0.11034007495135806,0.05263157894736842,0.11519302023606748
38,98,0.11014132855764244,0.05263157894736842,0.1245878731018927
84,31,0.11007262597695036,0.05263157894736842,0.13038423542798416
-1,4123,0.11001222166875989,0.05263157894736842,0.12018594236429304
51,62,0.10997429532084481,0.08187134502923976,0.10314973062168432
55,56,0.10918841220698805,0.1111111111111111,0.09636199683093123
11,179,0.10868567075651497,0.1111111111111111,0.09923112967030191
14,170,0.1073592896712547,0.05263157894736842,0.11958994723641464
7,227,0.10704105430718543,0.1111111111111111,0.10150861340651318
19,141,0.10661370433453958,0.05263157894736842,0.10165585876860651
4,333,0.10519109306519007,0.05263157894736842,0.11062476313373153
22,123,0.1037648121579255,0.05263157894736842,0.08739676003647771
16,164,0.1019919628099421,0.05263157894736842,0.08785370724669139
70,44,0.10154955123995371,0.1111111111111111,0.08183299028617255
49,66,0.10154936509425673,0.05263157894736842,0.0990463892751585
24,118,0.10023802860424574,0.1111111111111111,0.08753603686087674
41,89,0.09560749196189415,0.05263157894736842,0.09572505926148238
0,1287,0.0953520071924887,0.05263157894736842,0.1010765301352277
2,416,0.09467204138740516,0.05263157894736842,0.09103023539359292
3,360,0.09442994059222129,0.05263157894736842,0.09011727759379765
1,421,0.09420893414664694,0.05263157894736842,0.08347649833699909
79,35,0.09185217946827853,0.05263157894736842,0.08822193353766258
71,43,0.09179726562187503,0.1111111111111111,0.07331591220057597
42,88,0.09034627223481712,0.05263157894736842,0.11655576710135392
72,41,0.08964274627266397,0.05263157894736842,0.0758208552286477
23,121,0.08921753419361074,0.05263157894736842,0.08698701370609804
13,171,0.08677344950496871,0.05263157894736842,0.08874947636009108
6,218,0.08476218428784679,0.05263157894736842,0.08034095259908382
57,55,0.08358194952622197,0.05263157894736842,0.0859268265163257
26,115,0.0828475707598066,0.05263157894736842,0.09619837325011539
28,113,0.0791112128751516,0.05263157894736842,0.09661037099512951
31,112,0.0776627536979704,0.05263157894736842,0.09831941964262164
12,171,0.07183507444221147,0.05263157894736842,0.07939319026659844
66,46,0.06394422757661418,0.05263157894736842,0.06799193500200078
37,105,0.04859124936524317,0.05263157894736842,0.056789900651972605
54,51,0.04138590420688398,0.0,0.05539162635950337
65,46,0.02610639984445342,0.0,0.04270299242205144
27,115,0.025766889517057776,0.0,0.043830096439370816
