community,n,mean,median,std
4,744,0.09757019689107974,0.05263157894736842,0.11487539849037844
67,20,0.09643717135977198,0.05263157894736842,0.11291686174838975
29,96,0.09204434697855751,0.05263157894736842,0.10038367194834044
37,73,0.09204097404402761,0.05263157894736842,0.10419827336446809
20,125,0.09170347437220502,0.05263157894736842,0.08767633007012393
64,20,0.08889933166248956,0.05263157894736842,0.11965553291138
52,24,0.08889103887168903,0.1111111111111111,0.07860100990990276
16,146,0.08830740900061057,0.05263157894736842,0.09270300510915183
141,2,0.08823529411764706,0.08823529411764706,0.12478354962115545
93,2,0.08823529411764706,0.08823529411764706,0.12478354962115545
140,2,0.08823529411764706,0.08823529411764706,0.12478354962115545
22,115,0.08819523232634015,0.05263157894736842,0.09042392540164387
31,77,0.08809456797072897,0.05263157894736842,0.08778022090270472
2,885,0.08752775155671728,0.05263157894736842,0.0937049098510971
60,23,0.08751077148573447,0.05263157894736842,0.1333161698708435
49,27,0.08722241333180446,0.05263157894736842,0.10851251426826307
34,70,0.0868500031591584,0.05263157894736842,0.10034085149682694
32,65,0.08646484234719529,0.05263157894736842,0.10825421772455916
6,595,0.08639859849631684,0.05263157894736842,0.09972675438833513
63,23,0.08606661581489956,0.05263157894736842,0.10566324848287374
9,287,0.08490455857798174,0.05263157894736842,0.11084204662770485
12,275,0.0845828303103845,0.05263157894736842,0.09071035355194458
99,4,0.08359133126934984,0.05263157894736842,0.061919504643962855
55,30,0.08260807246875358,0.05263157894736842,0.09447811065709336
125,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
130,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
128,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
101,4,0.08187134502923976,0.08187134502923976,0.033763173636820215
89,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
97,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
79,7,0.08133077792520517,0.05263157894736842,0.07512957049449083
30,56,0.08006843088112438,0.05263157894736842,0.08599600794898517
11,299,0.07740451693204418,0.05263157894736842,0.08370668131878094
24,106,0.07740343737627457,0.05263157894736842,0.0853477730505097
0,1986,0.07615808723718893,0.05263157894736842,0.0811941523212622
35,79,0.0753506377012275,0.05263157894736842,0.07507330069268031
78,8,0.07529239766081872,0.08187134502923976,0.04198878114235323
27,96,0.0745748409012728,0.05263157894736842,0.0846149327225587
10,314,0.07318817742591678,0.05263157894736842,0.09492005284100861
87,3,0.07212475633528265,0.05263157894736842,0.033763173636820215
5,632,0.07208866310151728,0.05263157894736842,0.08564647714196777
76,10,0.07058823529411765,0.0,0.09112901991076275
47,42,0.07044338203117505,0.02631578947368421,0.11400329275144407
1,1752,0.07042146647171245,0.05263157894736842,0.07527630832386392
53,22,0.07033661213227776,0.05263157894736842,0.12076412202366381
18,140,0.06955378642685144,0.05263157894736842,0.07525498154321719
3,758,0.06829479679451497,0.05263157894736842,0.08644402469465742
28,91,0.06760585475755755,0.05263157894736842,0.06649133619047068
36,73,0.06727108790385435,0.05263157894736842,0.10569835486206071
7,589,0.06572616032292138,0.05263157894736842,0.08276059352670188
75,10,0.0577485380116959,0.02631578947368421,0.08122847598991285
21,118,0.05743806591920146,0.05263157894736842,0.07105030156101004
92,4,0.05727554179566564,0.02631578947368421,0.08324662328017804
44,41,0.05725666389790832,0.0,0.0853780373585328
80,2,0.05555555555555555,0.05555555555555555,0.07856742013183861
108,2,0.05555555555555555,0.05555555555555555,0.07856742013183861
90,2,0.05555555555555555,0.05555555555555555,0.07856742013183861
111,3,0.05458089668615984,0.05263157894736842,0.055581198555100395
102,4,0.054093567251461985,0.05263157894736842,0.04539232367327491
129,2,0.05263157894736842,0.05263157894736842,0.0
146,1,0.05263157894736842,0.05263157894736842,
162,1,0.05263157894736842,0.05263157894736842,
157,1,0.05263157894736842,0.05263157894736842,
181,1,0.05263157894736842,0.05263157894736842,
180,1,0.05263157894736842,0.05263157894736842,
174,1,0.05263157894736842,0.05263157894736842,
161,1,0.05263157894736842,0.05263157894736842,
152,1,0.05263157894736842,0.05263157894736842,
348,1,0.05263157894736842,0.05263157894736842,
190,1,0.05263157894736842,0.05263157894736842,
185,1,0.05263157894736842,0.05263157894736842,
335,1,0.05263157894736842,0.05263157894736842,
337,1,0.05263157894736842,0.05263157894736842,
332,1,0.05263157894736842,0.05263157894736842,
176,1,0.05263157894736842,0.05263157894736842,
322,1,0.05263157894736842,0.05263157894736842,
204,1,0.05263157894736842,0.05263157894736842,
203,1,0.05263157894736842,0.05263157894736842,
200,1,0.05263157894736842,0.05263157894736842,
206,1,0.05263157894736842,0.05263157894736842,
326,1,0.05263157894736842,0.05263157894736842,
324,1,0.05263157894736842,0.05263157894736842,
209,1,0.05263157894736842,0.05263157894736842,
183,1,0.05263157894736842,0.05263157894736842,
316,1,0.05263157894736842,0.05263157894736842,
299,1,0.05263157894736842,0.05263157894736842,
320,1,0.05263157894736842,0.05263157894736842,
309,1,0.05263157894736842,0.05263157894736842,
230,1,0.05263157894736842,0.05263157894736842,
228,1,0.05263157894736842,0.05263157894736842,
241,1,0.05263157894736842,0.05263157894736842,
286,1,0.05263157894736842,0.05263157894736842,
290,1,0.05263157894736842,0.05263157894736842,
240,1,0.05263157894736842,0.05263157894736842,
238,1,0.05263157894736842,0.05263157894736842,
298,1,0.05263157894736842,0.05263157894736842,
297,1,0.05263157894736842,0.05263157894736842,
296,1,0.05263157894736842,0.05263157894736842,
249,1,0.05263157894736842,0.05263157894736842,
277,1,0.05263157894736842,0.05263157894736842,
256,1,0.05263157894736842,0.05263157894736842,
265,1,0.05263157894736842,0.05263157894736842,
263,1,0.05263157894736842,0.05263157894736842,
267,1,0.05263157894736842,0.05263157894736842,
283,1,0.05263157894736842,0.05263157894736842,
274,1,0.05263157894736842,0.05263157894736842,
272,1,0.05263157894736842,0.05263157894736842,
43,44,0.04917987928823842,0.0,0.06891245736541626
41,45,0.04672247066467912,0.05263157894736842,0.05434895688594561
73,12,0.045894966173603946,0.05263157894736842,0.05398803570826577
61,16,0.04502063983488132,0.02631578947368421,0.055874567727393604
85,6,0.04483430799220273,0.05263157894736842,0.04146139718096037
25,103,0.04361417535844179,0.0,0.06647747844154145
59,23,0.042760353569345357,0.05263157894736842,0.048173622173036605
66,17,0.04162366701066391,0.05263157894736842,0.0459484272172341
68,16,0.0402046783625731,0.05263157894736842,0.03740709758751557
48,39,0.03963906750284459,0.0,0.05200700127359335
109,3,0.037037037037037035,0.0,0.06415002990995841
104,3,0.03508771929824561,0.05263157894736842,0.030386856273138196
69,7,0.030910609857978277,0.0,0.04320027894351845
117,2,0.02631578947368421,0.02631578947368421,0.03721614637823934
124,2,0.02631578947368421,0.02631578947368421,0.03721614637823934
113,2,0.02631578947368421,0.02631578947368421,0.03721614637823934
62,19,0.0231383412090598,0.0,0.04398232610969085
71,12,0.022417153996101363,0.0,0.036463659119739054
96,4,0.013157894736842105,0.0,0.02631578947368421
74,10,0.010526315789473684,0.0,0.022191422176620203
254,1,0.0,0.0,
253,1,0.0,0.0,
252,1,0.0,0.0,
103,2,0.0,0.0,0.0
106,3,0.0,0.0,0.0
105,3,0.0,0.0,0.0
116,2,0.0,0.0,0.0
115,2,0.0,0.0,0.0
112,2,0.0,0.0,0.0
107,2,0.0,0.0,0.0
