topic,n,mean,median,std
81,25,0.3841025641025641,0.42857142857142855,0.13778520337836964
77,24,0.31814862697215635,0.3333333333333333,0.14992679301225412
83,16,0.2959233372836314,0.3333333333333333,0.14405610762230198
76,16,0.2858422215039862,0.25,0.14696441474397245
69,32,0.2568715871976321,0.25,0.1418667219722262
78,26,0.2076104811279853,0.17647058823529413,0.15154932669529683
56,39,0.20093818004034722,0.17647058823529413,0.10315133654729369
73,26,0.20055806501984164,0.17647058823529413,0.15864447709094634
64,26,0.19710409856873298,0.25,0.16108279161942288
82,17,0.1916088019712132,0.1111111111111111,0.16441550193784016
30,73,0.18848814737105166,0.17647058823529413,0.14071548350237095
62,32,0.17710060998083443,0.17647058823529413,0.11831448019455623
80,31,0.17700441806603795,0.17647058823529413,0.10832891766693156
67,28,0.17498973273519933,0.17647058823529413,0.13908645974254294
58,35,0.1649478144834182,0.1111111111111111,0.14413625877319752
40,66,0.16186671372429887,0.17647058823529413,0.1160027008397391
68,33,0.16092258274920812,0.17647058823529413,0.11706455541729963
15,127,0.15953635112114914,0.1111111111111111,0.1298010534348
9,141,0.15948720200745758,0.1111111111111111,0.13576431114328502
59,37,0.15462510276751762,0.1111111111111111,0.14218401677219
53,42,0.1529515989931735,0.1111111111111111,0.13897248507585433
25,74,0.15212939864642652,0.1111111111111111,0.12582313904139872
70,34,0.14714735223294684,0.17647058823529413,0.09825329554179313
29,74,0.14543018761285015,0.1111111111111111,0.13440225665911293
44,73,0.14194844743214055,0.1111111111111111,0.12641783362552997
34,82,0.14018112593775206,0.1111111111111111,0.1271151199331673
46,62,0.13907547477656335,0.1111111111111111,0.14971963233651658
60,35,0.13692319032876307,0.1111111111111111,0.10898932157536846
18,135,0.13682090119998616,0.1111111111111111,0.10663036600287779
45,47,0.13517523470754483,0.1111111111111111,0.09945371976558513
39,68,0.13459325938837868,0.1111111111111111,0.10856486793149635
47,61,0.13374645227662535,0.1111111111111111,0.10567161390880915
10,118,0.1326157284204196,0.1111111111111111,0.11328646973892442
51,47,0.1304395218333694,0.1111111111111111,0.11948772037669128
36,63,0.12939683295720447,0.1111111111111111,0.12184637881220772
71,32,0.12863884588923288,0.1111111111111111,0.08230282269211237
50,50,0.12392746572313136,0.1111111111111111,0.09751169896427893
19,116,0.12296497895542415,0.05263157894736842,0.13757806101488393
32,74,0.12259318141671083,0.1111111111111111,0.10360587549668047
7,189,0.12207804599322611,0.1111111111111111,0.11374773117816125
33,93,0.1217886121261733,0.1111111111111111,0.12032385150276542
21,69,0.12101634449864358,0.1111111111111111,0.11184911838766261
8,154,0.12033914289553388,0.1111111111111111,0.11438355018962099
75,35,0.12029689068609901,0.1111111111111111,0.09571775008145307
48,64,0.12003066029043197,0.1111111111111111,0.099194304308836
52,49,0.11984693626824162,0.05263157894736842,0.12341547676093692
35,48,0.11696674283748587,0.05263157894736842,0.12556223985721468
17,110,0.11673363616088075,0.08187134502923976,0.12338274467746847
20,116,0.1164338135086507,0.1111111111111111,0.10960771471256568
74,25,0.11466804265565875,0.1111111111111111,0.10152509837728495
63,40,0.11130245958032337,0.08187134502923976,0.10560363640196019
5,240,0.11100144229981691,0.05263157894736842,0.10950194054155289
-1,2766,0.11019218730111056,0.05263157894736842,0.11991195597072775
26,88,0.10815502437019466,0.08187134502923976,0.11667144591720631
42,34,0.10805054736032699,0.08187134502923976,0.09773027925111223
84,23,0.10754774831366568,0.1111111111111111,0.09195782662484496
43,70,0.10695909942924538,0.05263157894736842,0.0990511594352775
16,106,0.10506607985286645,0.05263157894736842,0.1020241110521418
6,126,0.10297068295004312,0.05263157894736842,0.09681407098076382
24,89,0.10182125284570757,0.1111111111111111,0.08717432558448317
11,148,0.10132395774810636,0.05263157894736842,0.10153313376010341
38,54,0.10096865256823977,0.05263157894736842,0.1114915275542219
61,50,0.09976436188510492,0.05263157894736842,0.08201813644124699
22,97,0.0984880352519432,0.05263157894736842,0.10332061342762129
79,23,0.09677913881036777,0.1111111111111111,0.06935644263112306
55,34,0.09508235698820292,0.05263157894736842,0.09096918077804655
23,93,0.09112267808462755,0.05263157894736842,0.0975088500572782
49,37,0.08841891427030746,0.05263157894736842,0.0777896437817759
0,1019,0.08728606682270355,0.05263157894736842,0.09862820447448799
1,357,0.08562192043603184,0.05263157894736842,0.09626720247145039
14,143,0.08351474938757625,0.05263157894736842,0.09648793319746153
13,142,0.08348136635430055,0.05263157894736842,0.08784148620799696
2,330,0.0829382806162992,0.05263157894736842,0.09200322609415006
4,236,0.08171918038699275,0.05263157894736842,0.09690062109845715
3,293,0.0810780632233733,0.05263157894736842,0.09157812626877457
72,31,0.07788208662072639,0.05263157894736842,0.06335482668598334
41,61,0.07607978480434452,0.05263157894736842,0.07568723326532373
12,126,0.07203534435216583,0.05263157894736842,0.07312390268261904
54,24,0.06965227611512441,0.05263157894736842,0.07978994105884321
28,61,0.06882200680099476,0.05263157894736842,0.0786576992926714
31,88,0.06288624516178697,0.05263157894736842,0.08574675273645757
57,40,0.0595953732370141,0.05263157894736842,0.06933669304958648
66,41,0.05425597710200897,0.0,0.08507936859308764
37,69,0.04579027135898855,0.05263157894736842,0.05530586413156033
65,28,0.029731190721902796,0.0,0.0506511577525676
27,86,0.022791817665458677,0.0,0.03945579140948456
