method,n_included,n_excluded,real_mean,real_median,null_mean,null_std,z_score
bibliographic_coupling,13555,956,0.08157792279013813,0.05263157894736842,0.0003925900129131318,5.0183840754496314e-05,1617.7584568385403
co_citation,10382,4129,0.11040022251488811,0.05263157894736842,0.00044376411205069606,7.254082087055116e-05,1515.787346810623
combined,14341,170,0.1130149331473751,0.1111111111111111,0.0004248907762469142,5.605282267897653e-05,2008.6417951857545
