run,n,mean,median
0,13555,0.0004569240834490882,0.0
1,13555,0.000434341254152298,0.0
2,13555,0.0004509641321826057,0.0
3,13555,0.0004440321172377135,0.0
4,13555,0.00035364243091219415,0.0
5,13555,0.00041509498244928823,0.0
6,13555,0.0003631575521353778,0.0
7,13555,0.00033828087914581083,0.0
8,13555,0.0004650448710938425,0.0
9,13555,0.00039916401436033066,0.0
10,13555,0.00036498385359178383,0.0
11,13555,0.0003205924924345349,0.0
12,13555,0.0003058796628852347,0.0
13,13555,0.00040285998626802573,0.0
14,13555,0.000330191677905898,0.0
15,13555,0.0003904260909033347,0.0
16,13555,0.00048156351851993837,0.0
17,13555,0.00037786562333100743,0.0
18,13555,0.00031972964430227753,0.0
19,13555,0.0003517236674977241,0.0
20,13555,0.00041048730997831837,0.0
21,13555,0.00036020646650656484,0.0
22,13555,0.0003144716634963342,0.0
23,13555,0.0003619753051776924,0.0
24,13555,0.00030662989664728934,0.0
25,13555,0.0004147127280377552,0.0
26,13555,0.00029948443555203306,0.0
27,13555,0.0003588483870513396,0.0
28,13555,0.0003576775148248094,0.0
29,13555,0.0003337953377523846,0.0
30,13555,0.00031404499778387606,0.0
31,13555,0.0004453232172003192,0.0
32,13555,0.0004414711712922305,0.0
33,13555,0.00038394997155773397,0.0
34,13555,0.00044099074489822876,0.0
35,13555,0.0004117498598189008,0.0
36,13555,0.0003696987023144759,0.0
37,13555,0.0003535520221924539,0.0
38,13555,0.0004043004985358863,0.0
39,13555,0.0004529952694351149,0.0
40,13555,0.000347330814650632,0.0
41,13555,0.0004164082880623565,0.0
42,13555,0.0005108746145892139,0.0
43,13555,0.0003693167651265208,0.0
44,13555,0.0003864776543451772,0.0
45,13555,0.0003971004749852078,0.0
46,13555,0.0003946324755480894,0.0
47,13555,0.00040484231640717144,0.0
48,13555,0.0005186628159712246,0.0
49,13555,0.0003586203486163859,0.0
50,13555,0.00036213609221410255,0.0
51,13555,0.0004109250785160078,0.0
52,13555,0.0003597696043219555,0.0
53,13555,0.00044581491374627466,0.0
54,13555,0.0004061984472032744,0.0
55,13555,0.0003372847971107784,0.0
56,13555,0.00039697834390766404,0.0
57,13555,0.00037210235068290716,0.0
58,13555,0.0003568543196398066,0.0
59,13555,0.0005172841169834271,0.0
60,13555,0.0003176819661060564,0.0
61,13555,0.0003620409251406918,0.0
62,13555,0.00039646602782913623,0.0
63,13555,0.0003532728654437824,0.0
64,13555,0.00031913394374038026,0.0
65,13555,0.0004063887813500959,0.0
66,13555,0.00039749383222197223,0.0
67,13555,0.00039553973498127173,0.0
68,13555,0.0004773326623420211,0.0
69,13555,0.00030379867621331986,0.0
70,13555,0.00037012219579115376,0.0
71,13555,0.0003886179165085307,0.0
72,13555,0.0004375788833073853,0.0
73,13555,0.0003443985358482311,0.0
74,13555,0.0003873680556110697,0.0
75,13555,0.00041493986011962886,0.0
76,13555,0.0003858547771347704,0.0
77,13555,0.0004989625520103918,0.0
78,13555,0.0003021744914937766,0.0
79,13555,0.0004253793708492088,0.0
80,13555,0.00039990961177778327,0.0
81,13555,0.00041735690856975195,0.0
82,13555,0.00030516908207043453,0.0
83,13555,0.0004413785420074441,0.0
84,13555,0.0004193568812201992,0.0
85,13555,0.00042415203282578827,0.0
86,13555,0.0004338730321511172,0.0
87,13555,0.0004430771300752902,0.0
88,13555,0.00043141296330344964,0.0
89,13555,0.0004319855518618042,0.0
90,13555,0.00039549056532667623,0.0
91,13555,0.0004229267794144521,0.0
92,13555,0.0004296983698641661,0.0
93,13555,0.00035809624994781675,0.0
94,13555,0.00041350093396965847,0.0
95,13555,0.00041843090559591273,0.0
96,13555,0.00037686795517808487,0.0
97,13555,0.0004067821385868603,0.0
98,13555,0.0003832822159259686,0.0
99,13555,0.00044926472015741395,0.0
