community,n,mean,median,std
296,1,0.3333333333333333,0.3333333333333333,
284,1,0.3333333333333333,0.3333333333333333,
86,1,0.3333333333333333,0.3333333333333333,
57,20,0.29908122493261813,0.42857142857142855,0.23281526154511784
77,5,0.2795739348370927,0.3333333333333333,0.14173730058720915
46,16,0.2748128097392803,0.25,0.1616117451721957
109,1,0.25,0.25,
236,1,0.25,0.25,
56,21,0.23878125249199994,0.25,0.1519402174214374
80,5,0.22042360803970712,0.17647058823529413,0.15661208144616712
70,4,0.2102732793522267,0.1513157894736842,0.24382473450322303
60,16,0.20787693451199643,0.17647058823529413,0.17401747868752182
45,23,0.2005560658811433,0.17647058823529413,0.16586679560741258
32,34,0.19944644127397723,0.1111111111111111,0.18595869870052525
58,18,0.19435981020088347,0.17647058823529413,0.15128945577290645
22,82,0.18688436501620825,0.1111111111111111,0.1714943128191522
17,124,0.18633122788970186,0.17647058823529413,0.15007510979435185
39,28,0.18490493363337238,0.21323529411764708,0.16150301327227154
40,35,0.18251589434694257,0.1111111111111111,0.14525703231769677
102,1,0.17647058823529413,0.17647058823529413,
316,1,0.17647058823529413,0.17647058823529413,
211,1,0.17647058823529413,0.17647058823529413,
72,1,0.17647058823529413,0.17647058823529413,
331,1,0.17647058823529413,0.17647058823529413,
49,14,0.1746031746031746,0.18055555555555555,0.1258534829570978
65,14,0.1736018968991105,0.17647058823529413,0.12134563923249622
34,49,0.17342221253259352,0.17647058823529413,0.15689886776518638
52,12,0.16969097580552686,0.17647058823529413,0.11336390765523892
67,11,0.16601776276698876,0.17647058823529413,0.10390792173602896
20,105,0.15970339552825177,0.1111111111111111,0.13672970349331062
14,153,0.14980682366707984,0.1111111111111111,0.13497331978115057
9,218,0.147180119060711,0.1111111111111111,0.13291889037499224
23,81,0.14389711500134617,0.1111111111111111,0.12473198536057714
89,4,0.1437908496732026,0.1437908496732026,0.03773531171174025
54,17,0.140988283858435,0.1111111111111111,0.12010766124962406
50,21,0.1400817636996319,0.05263157894736842,0.15183492446061986
13,145,0.13835959066022052,0.1111111111111111,0.11047073830561066
29,70,0.1338658270325674,0.1111111111111111,0.10641505797081624
11,232,0.13305079756785212,0.1111111111111111,0.12117602582985058
15,114,0.13288294696148695,0.1111111111111111,0.11606187814942956
27,67,0.13110064696174395,0.05263157894736842,0.1678673363273245
26,73,0.1308910564392137,0.1111111111111111,0.12736133150671078
35,50,0.1301108162563271,0.1111111111111111,0.11883792100155487
8,256,0.1297662948023339,0.1111111111111111,0.12359752518239249
12,172,0.12612853492776455,0.1111111111111111,0.10944157998072618
33,36,0.12494027825555173,0.08187134502923976,0.12182619439136098
19,92,0.12334918711954652,0.1111111111111111,0.102837589349571
31,62,0.12272141454204771,0.1111111111111111,0.12479576224639002
6,412,0.1218525770304453,0.1111111111111111,0.12384841826997053
16,121,0.12161582046186606,0.1111111111111111,0.09365085836021451
4,611,0.12051100558875966,0.1111111111111111,0.11941805283449276
30,45,0.11369545869029872,0.05263157894736842,0.13154909424590114
38,44,0.11240975656610332,0.1111111111111111,0.10913352062307408
173,1,0.1111111111111111,0.1111111111111111,
116,1,0.1111111111111111,0.1111111111111111,
198,1,0.1111111111111111,0.1111111111111111,
143,1,0.1111111111111111,0.1111111111111111,
203,1,0.1111111111111111,0.1111111111111111,
292,1,0.1111111111111111,0.1111111111111111,
247,1,0.1111111111111111,0.1111111111111111,
93,1,0.1111111111111111,0.1111111111111111,
88,1,0.1111111111111111,0.1111111111111111,
303,1,0.1111111111111111,0.1111111111111111,
3,617,0.10904109126683151,0.05263157894736842,0.11522146968746919
10,232,0.10783833054837645,0.05263157894736842,0.12300356881336831
28,65,0.10665502368288746,0.1111111111111111,0.08875951205907291
37,58,0.10393609954568639,0.1111111111111111,0.09407037663836955
