node_id,jaccard
n6178,0.1111111111111111
n20662,0.05263157894736842
n21548,0.1111111111111111
n12612,0.3333333333333333
n21028,0.1111111111111111
n20717,0.05263157894736842
n7929,0.05263157894736842
n7750,0.17647058823529413
n15096,0.25
n8686,0.0
n6145,0.17647058823529413
n10262,0.0
n6905,0.05263157894736842
n5312,0.1111111111111111
n4709,0.1111111111111111
n9166,0.1111111111111111
n17935,0.17647058823529413
n21459,0.6666666666666666
n4838,0.1111111111111111
n541,0.3333333333333333
n10443,0.0
n19172,0.1111111111111111
n13419,0.05263157894736842
n18004,0.1111111111111111
n16177,0.0
n18354,0.1111111111111111
n16714,0.05263157894736842
n5186,0.17647058823529413
n18948,0.05263157894736842
n16912,0.05263157894736842
n1462,0.1111111111111111
n6771,0.25
n643,0.0
n11590,0.17647058823529413
n17021,0.17647058823529413
n21832,0.3333333333333333
n22883,0.1111111111111111
n12606,0.0
n16348,0.05263157894736842
n4818,0.05263157894736842
n7939,0.05263157894736842
n18706,0.0
n8342,0.05263157894736842
n11690,0.25
n18905,0.05263157894736842
n9204,0.1111111111111111
n17004,0.1111111111111111
n10675,0.05263157894736842
n10686,0.05263157894736842
n13344,0.05263157894736842
n22520,0.05263157894736842
n22808,0.05263157894736842
n3426,0.25
n8337,0.42857142857142855
n9140,0.05263157894736842
n13179,0.17647058823529413
n1439,0.1111111111111111
n1850,0.1111111111111111
n2720,0.17647058823529413
n15719,0.0
n10273,0.17647058823529413
n14449,0.0
n1822,0.05263157894736842
n19244,0.0
n13368,0.3333333333333333
n13757,0.0
n6447,0.1111111111111111
n8905,0.17647058823529413
n11752,0.17647058823529413
n3080,0.17647058823529413
n6451,0.0
n2680,0.0
n9766,0.05263157894736842
n17201,0.05263157894736842
n11147,0.05263157894736842
n7274,0.1111111111111111
n16871,0.5384615384615384
n1731,0.05263157894736842
n18925,0.05263157894736842
n14875,0.0
n5876,0.17647058823529413
n12267,0.1111111111111111
n15137,0.0
n18679,0.05263157894736842
n5601,0.1111111111111111
n4338,0.0
n3714,0.25
n3795,0.17647058823529413
n2514,0.05263157894736842
n11087,0.1111111111111111
n6187,0.1111111111111111
n15754,0.25
n15363,0.0
n9688,0.1111111111111111
n21945,0.0
n7281,0.1111111111111111
n10661,0.0
n15737,0.05263157894736842
n3872,0.1111111111111111
n4494,0.0
n11950,0.17647058823529413
n16840,0.17647058823529413
n7159,0.0
n9859,0.25
n9299,0.05263157894736842
n14260,0.1111111111111111
n2420,0.3333333333333333
n17390,0.05263157894736842
n12988,0.05263157894736842
n18611,0.0
n348,0.1111111111111111
n5200,0.0
n9060,0.1111111111111111
n13359,0.1111111111111111
n18591,0.0
n4023,0.05263157894736842
n4960,0.0
n22182,0.05263157894736842
n847,0.1111111111111111
n14793,0.05263157894736842
n3406,0.3333333333333333
n21679,0.1111111111111111
n22603,0.05263157894736842
n4926,0.17647058823529413
n18242,0.05263157894736842
n375,0.05263157894736842
n15582,0.05263157894736842
n15865,0.05263157894736842
n1880,0.1111111111111111
n10100,0.0
n14051,0.05263157894736842
n9349,0.05263157894736842
n20004,0.0
n20403,0.0
n18496,0.1111111111111111
n985,0.05263157894736842
n6332,0.17647058823529413
n16256,0.0
n1857,0.0
n2406,0.3333333333333333
n1759,0.0
n1510,0.25
n16898,0.1111111111111111
n18533,0.05263157894736842
n4724,0.3333333333333333
n5698,0.3333333333333333
n11753,0.17647058823529413
n6482,0.0
n3931,0.17647058823529413
n11542,0.0
n19069,0.0
n6309,0.05263157894736842
n13562,0.05263157894736842
n22549,0.0
n14945,0.17647058823529413
n9222,0.0
n16222,0.05263157894736842
n10711,0.0
n15325,0.17647058823529413
n18951,0.1111111111111111
n6957,0.1111111111111111
n15785,0.17647058823529413
n10610,0.0
n11755,0.0
n9663,0.05263157894736842
n1654,0.3333333333333333
n17173,0.0
n13874,0.0
n699,0.0
n1114,0.1111111111111111
n5338,0.1111111111111111
n5027,0.17647058823529413
n7238,0.25
n21668,0.17647058823529413
n8050,0.17647058823529413
n8143,0.1111111111111111
n14665,0.05263157894736842
n3849,0.0
n3228,0.05263157894736842
n22146,0.0
n20162,0.05263157894736842
n15264,0.17647058823529413
n8429,0.0
n5943,0.0
n2650,0.0
n4475,0.0
n5196,0.05263157894736842
n1771,0.05263157894736842
n2556,0.25
n6595,0.0
n13725,0.25
n18575,0.05263157894736842
n20653,0.0
n4132,0.05263157894736842
n6330,0.25
n13360,0.42857142857142855
n8554,0.05263157894736842
n18029,0.05263157894736842
n1174,0.0
n710,0.1111111111111111
n16056,0.1111111111111111
n19117,0.17647058823529413
n13683,0.05263157894736842
n12154,0.17647058823529413
n21381,0.05263157894736842
n3657,0.0
n883,0.05263157894736842
n19952,0.0
n20824,0.1111111111111111
n3477,0.0
n9871,0.05263157894736842
n13341,0.05263157894736842
n17506,0.0
n115,0.0
n3554,0.25
n4051,0.1111111111111111
n18974,0.0
n22129,0.05263157894736842
n10268,0.1111111111111111
n9279,0.0
n17555,0.05263157894736842
n11554,0.05263157894736842
n16914,0.25
n1328,0.1111111111111111
n7414,0.05263157894736842
n14002,0.1111111111111111
n4824,0.17647058823529413
n14817,0.1111111111111111
n15467,0.1111111111111111
n19383,0.1111111111111111
n18226,0.3333333333333333
n4989,0.1111111111111111
n20525,0.0
n805,0.05263157894736842
n19133,0.42857142857142855
n21345,0.25
n18574,0.17647058823529413
n6767,0.1111111111111111
n13078,0.0
n18837,0.05263157894736842
n1733,0.05263157894736842
n6670,0.1111111111111111
n18039,0.1111111111111111
n20558,0.0
n20574,0.25
n4555,0.05263157894736842
n10845,0.25
n4900,0.1111111111111111
n1208,0.05263157894736842
n8621,0.1111111111111111
n1765,0.3333333333333333
n18996,0.05263157894736842
n8272,0.25
n22688,0.0
n3718,0.0
n11138,0.1111111111111111
n13498,0.1111111111111111
n3367,0.05263157894736842
n15615,0.05263157894736842
n12227,0.05263157894736842
n12650,0.05263157894736842
n1126,0.05263157894736842
n22825,0.1111111111111111
n2743,0.17647058823529413
