community,n,mean,median,std
16,167,0.12289853434808107,0.1111111111111111,0.1030266776467925
99,4,0.12280701754385964,0.05263157894736842,0.14035087719298245
26,97,0.11993188137422282,0.05263157894736842,0.11950420128825862
30,81,0.11988465101640196,0.1111111111111111,0.12636046622392913
51,32,0.11913822546562484,0.08187134502923976,0.13113872297998463
11,321,0.11881648872042669,0.1111111111111111,0.11246383718553213
4,783,0.1181943462645217,0.1111111111111111,0.11734991259524165
83,7,0.11788048552754435,0.1111111111111111,0.09327775098368461
38,70,0.11570716005700525,0.1111111111111111,0.09808600519764843
6,608,0.11569283916954806,0.1111111111111111,0.11833410283319433
130,2,0.11455108359133127,0.11455108359133127,0.0875674032429161
31,86,0.11359194840726987,0.1111111111111111,0.11237191981326512
0,2001,0.11317273174463774,0.1111111111111111,0.10356304329500356
101,4,0.11283109735122118,0.1111111111111111,0.05059605887606974
37,77,0.11270138039266744,0.1111111111111111,0.11244277991090439
35,82,0.11266269451725919,0.1111111111111111,0.09911258988536327
198,1,0.1111111111111111,0.1111111111111111,
310,1,0.1111111111111111,0.1111111111111111,
316,1,0.1111111111111111,0.1111111111111111,
325,1,0.1111111111111111,0.1111111111111111,
157,1,0.1111111111111111,0.1111111111111111,
330,1,0.1111111111111111,0.1111111111111111,
339,1,0.1111111111111111,0.1111111111111111,
309,1,0.1111111111111111,0.1111111111111111,
303,1,0.1111111111111111,0.1111111111111111,
247,1,0.1111111111111111,0.1111111111111111,
90,2,0.1111111111111111,0.1111111111111111,0.0
280,1,0.1111111111111111,0.1111111111111111,
267,1,0.1111111111111111,0.1111111111111111,
109,3,0.1111111111111111,0.0,0.19245008972987526
88,1,0.1111111111111111,0.1111111111111111,
285,1,0.1111111111111111,0.1111111111111111,
292,1,0.1111111111111111,0.1111111111111111,
301,1,0.1111111111111111,0.1111111111111111,
307,1,0.1111111111111111,0.1111111111111111,
195,1,0.1111111111111111,0.1111111111111111,
12,301,0.11101825471110516,0.1111111111111111,0.10712223162237987
63,24,0.11057003210640981,0.08187134502923976,0.108940229188563
64,22,0.10791126657999722,0.1111111111111111,0.11740648546154933
2,925,0.10619831650791402,0.1111111111111111,0.10252957610030623
10,330,0.10595659930025256,0.05263157894736842,0.1239407232556373
3,790,0.10452672194452184,0.05263157894736842,0.10954845826197679
76,11,0.10368389780154486,0.1111111111111111,0.1060742321452975
1,1772,0.10344810930329383,0.1111111111111111,0.09627555077801322
5,654,0.09997025239377613,0.05263157894736842,0.10403646849028507
53,30,0.09720921206989318,0.05263157894736842,0.14200758916052703
28,98,0.0952889927900985,0.1111111111111111,0.08182903382196176
24,118,0.09424827022691323,0.05263157894736842,0.09240185858888553
36,79,0.092251697652019,0.05263157894736842,0.11784517681149523
18,148,0.0905159361041714,0.05263157894736842,0.09194456719471833
55,31,0.09012410850021954,0.05263157894736842,0.12419058190676437
140,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
102,4,0.08187134502923976,0.08187134502923976,0.033763173636820215
125,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
128,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
129,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
97,2,0.08187134502923976,0.08187134502923976,0.04135127375359927
7,601,0.08148985408764002,0.05263157894736842,0.0894377321192847
47,43,0.08094306674118035,0.05263157894736842,0.11354510713739645
