topic,community_a,community_b,n_a_in_topic,n_b_in_topic,size_a,size_b,edges_a_to_b,edges_b_to_a,cut,conductance,conductance_expected,ratio_obs_exp
0,32,49,74,37,86,38,0,3,3,0.012875536480686695,0.0019622945435677657,6.56146984808759
0,12,32,303,74,314,86,20,37,57,0.08309037900874636,0.008768001646111667,9.47654692168019
0,12,49,303,37,314,38,7,25,32,0.13733905579399142,0.008748665512250037,15.698286281683398
4,1,29,176,35,1772,98,42,167,209,0.17258464079273328,0.2319328514120105,0.7441146855309005
7,0,18,57,53,2001,148,238,418,656,0.30783669638667294,0.23505286648336537,1.3096487653702298
9,25,27,57,34,114,99,6,9,15,0.01296456352636128,0.004011741392079787,3.2316548499254396
