min_cluster_size,n_topics,coverage,npmi,diversity
10,184,0.6137412997036731,0.28572518526550506,0.6826086956521739
15,127,0.6011990903452553,0.29534457938787007,0.7173228346456693
20,99,0.5932740679484529,0.3020855779122568,0.7252525252525253
30,55,0.6645992695196747,0.28078595783760724,0.74
50,33,0.7121494039004893,0.25345286473879797,0.7545454545454545
75,24,0.7305492385087176,0.24330375081168676,0.7791666666666667
100,21,0.6825167114602715,0.2343564168968483,0.7761904761904762
