min_cluster_size,n_topics,coverage,npmi,diversity
10,252,0.7155261525739094,0.28333764278893236,0.6123015873015873
15,175,0.7370270829026255,0.3056637608068438,0.6468571428571429
20,129,0.7428847081524361,0.32524064150160653,0.6550387596899225
30,85,0.7099441802770312,0.3073053396013361,0.711764705882353
50,44,0.8062159740886224,0.2594843606822056,0.7227272727272728
75,33,0.7944318103507684,0.25164332989105365,0.7363636363636363
100,26,0.8097994624767417,0.23198857015559665,0.7269230769230769
