run,n,mean,median
0,10382,0.0005235027952178617,0.0
1,10382,0.0003813127653329765,0.0
2,10382,0.000427726880631497,0.0
3,10382,0.0004215279814927454,0.0
4,10382,0.000498358640755609,0.0
5,10382,0.0004876807932174955,0.0
6,10382,0.0003696098344910023,0.0
7,10382,0.0004078438146086488,0.0
8,10382,0.0005104645639428989,0.0
9,10382,0.0004756991225518857,0.0
10,10382,0.0003832693283743655,0.0
11,10382,0.0004945976762224579,0.0
12,10382,0.00031656229123505473,0.0
13,10382,0.0004827442405311461,0.0
14,10382,0.00033985549729934663,0.0
15,10382,0.0003522677325365116,0.0
16,10382,0.000510464563942899,0.0
17,10382,0.0003857496453785697,0.0
18,10382,0.00035826972101233397,0.0
19,10382,0.0003147896219257524,0.0
20,10382,0.00048033894838288955,0.0
21,10382,0.0003276124821631363,0.0
22,10382,0.0003199771647058956,0.0
23,10382,0.0003707927184973967,0.0
24,10382,0.0003349350974408155,0.0
25,10382,0.0004156106030674005,0.0
26,10382,0.0003727658485416763,0.0
27,10382,0.00036263512627402735,0.0
28,10382,0.00036724075307763553,0.0
29,10382,0.0004253101690848195,0.0
30,10382,0.00033795857546836406,0.0
31,10382,0.0003611958678978998,0.0
32,10382,0.0004026370422715788,0.0
33,10382,0.0003823067855064172,0.0
34,10382,0.00031290098359621523,0.0
35,10382,0.0003804943553901771,0.0
36,10382,0.0005151861597667418,0.0
37,10382,0.0004661896628926372,0.0
38,10382,0.0004259546254972669,0.0
39,10382,0.0004710847980717598,0.0
40,10382,0.000431910048861393,0.0
41,10382,0.00053327922029512,0.0
42,10382,0.0003920601942832309,0.0
43,10382,0.0004410865117625389,0.0
44,10382,0.00043377590756195545,0.0
45,10382,0.00043635414738681707,0.0
46,10382,0.0003918448232456521,0.0
47,10382,0.0004523210105977792,0.0
48,10382,0.00033574895145782,0.0
49,10382,0.0003317442926840712,0.0
50,10382,0.0004391833773054724,0.0
51,10382,0.0004192963470355039,0.0
52,10382,0.000383575817927843,0.0
53,10382,0.0003212031229198057,0.0
54,10382,0.0003501291099669276,0.0
55,10382,0.0003955040600091304,0.0
56,10382,0.0003668928460169314,0.0
57,10382,0.0004204113654979139,0.0
58,10382,0.0004225828262339418,0.0
59,10382,0.0003845367040955022,0.0
60,10382,0.00038552244076749755,0.0
61,10382,0.0003130997876309033,0.0
62,10382,0.0003845201370926116,0.0
63,10382,0.00038508341519089456,0.0
64,10382,0.0003569381481549958,0.0
65,10382,0.0005259783787926685,0.0
66,10382,0.0004920399858531049,0.0
67,10382,0.0004762421652394951,0.0
68,10382,0.00037953346922251787,0.0
69,10382,0.0003859697498455458,0.0
70,10382,0.00042168909559585734,0.0
71,10382,0.0003635960124416866,0.0
72,10382,0.0003902688870956764,0.0
73,10382,0.00037035534962108284,0.0
74,10382,0.00042518384568777815,0.0
75,10382,0.0003097532530469866,0.0
76,10382,0.00035275290904973855,0.0
77,10382,0.0006159502214198871,0.0
78,10382,0.0003834122187742976,0.0
79,10382,0.0004458180477881162,0.0
80,10382,0.00036247608304627686,0.0
81,10382,0.00039749210035601164,0.0
82,10382,0.00041995902715113087,0.0
83,10382,0.0005511348993392217,0.0
84,10382,0.00036651180495044574,0.0
85,10382,0.0005061636106943745,0.0
86,10382,0.000425498618742701,0.0
87,10382,0.000409828304883482,0.0
88,10382,0.00044973200222103856,0.0
89,10382,0.00031732437336802596,0.0
90,10382,0.00046459053293861454,0.0
91,10382,0.0005306245355854914,0.0
92,10382,0.00040716723004416704,0.0
93,10382,0.0004981929707267022,0.0
94,10382,0.0004742178731953545,0.0
95,10382,0.0004092381054055016,0.0
96,10382,0.0003943912307578166,0.0
97,10382,0.00037239309097663605,0.0
98,10382,0.000385679827294959,0.0
99,10382,0.00041720683379591723,0.0
